sample_id,question,category,gt_answer,final_answer,status,stop_reason,num_rounds,num_crops,runtime_seconds,total_output_tokens,peak_gpu_memory_mb,first_gt_coverage_10_turn,ever_gt_coverage_10_hit,raw_exact_match,official_normalized_match,official_judge_used,official_judge_result,official_judge_pending,official_final_correct,official_final_is_lower_bound
TPROMPT9ee217718764,"In the picture, what is the second character to the right of '8元'?",OCR Recognition,辣,,completed,image_or_turn_cap,12,11,82.10768810287118,1095,19376.35791015625,1,True,False,False,True,,False,False,False
TPROMPT5c23986e354f,"Among all the business sign with white text in the image, only one is related to pool. What is the name of this shop?",OCR Recognition,欢兮台球棋牌,,completed,image_or_turn_cap,12,11,72.74035187251866,1601,18105.63720703125,5,True,False,False,True,,False,False,False
TPROMPT9ed3a153f248,What are the characters before the number '502' in the picture?,OCR Recognition,京都,京都,completed,answer,5,4,30.272482907399535,519,17464.38427734375,1,True,True,True,False,,False,True,False
TPROMPT7e7a67fa1b6a,"Near the food stand labeled '正宗自助手搓冰粉', what is written on the sign of the closest Chuan-chuan (skewers) stand?",OCR Recognition,三毛五串串香,油炸串串,completed,answer,6,5,34.69069244340062,923,17148.81640625,,False,False,False,True,False,False,False,False
TPROMPT21c31e94e6ef,"In the picture, what is the fourth character on the sign surrounded by a yellow light strip, at the bottom right of the sign named '银苑'?",OCR Recognition,室,L,completed,answer,5,4,34.15074725449085,745,17482.53125,1,True,False,False,True,False,False,False,False
TPROMPTd9dea78fc2c2,"In the picture, there are the characters '煮玉米'. What is the name written under the first product to its right?",OCR Recognition,烤红薯,,completed,image_or_turn_cap,12,11,51.451391799375415,1310,17085.83544921875,1,True,False,False,True,,False,False,False
TPROMPT76c2790d4a2b,What are the two characters directly above the number ‘75’?,OCR Recognition,美容,元昌,completed,answer,4,3,19.572317231446505,511,16713.90966796875,1,True,False,False,True,False,False,False,False
TPROMPTa3781b14212b,"In the image, what is the first character on the upper-right part of the yellow lantern?",OCR Recognition,浪,浪,completed,answer,4,3,20.93690888956189,368,17214.4267578125,1,True,True,True,False,,False,True,False
TPROMPTd76926eae1e4,"Among all the illuminated signs in the picture, there is one shop sign that has a lighting failure. What is written on that sign?",OCR Recognition,烟酒便利,,completed,image_or_turn_cap,12,11,60.63802816905081,1799,17093.74609375,,False,False,False,True,,False,False,False
TPROMPTff54c94f8c78,"In the image, what characters are written on the sycee held by the lucky cat graffiti to the left of the man wearing a hat?",OCR Recognition,開運,福,completed,answer,7,6,39.095177590847015,854,17394.04248046875,1,True,False,False,True,False,False,False,False
TPROMPTb732c7fab386,Please find the sign with a golden five-pointed star. What brand is on the first sign directly above it?,OCR Recognition,SKECHERS,,completed,image_or_turn_cap,12,11,86.25826938636601,1525,18578.51171875,1,True,False,False,True,,False,False,False
TPROMPT11712e5ce7e5,What characters are on the first signboard to the left of the '满满大勺' sign?,OCR Recognition,金榜鸭脖,,completed,image_or_turn_cap,12,11,70.38222558796406,1755,17453.6533203125,1,True,False,False,True,,False,False,False
TPROMPT3b0fc700b6ba,What characters are on the yellow sign below the '日咖夜酒' sign?,OCR Recognition,得亨茶楼,日咖夜酒,completed,answer,4,3,23.424824710935354,532,17170.81103515625,1,True,False,False,True,False,False,False,False
TPROMPTe1671ded862f,"Please find the drawer labeled '赤小豆' in the picture, and then find the fifth drawer from left to right in the row above it. What is the two-character name of the Chinese medicinal herb written on this drawer?",OCR Recognition,拳参,木香,completed,answer,3,2,20.86462781764567,455,17223.96337890625,1,True,False,False,True,False,False,False,False
TPROMPT7497e337e5af,"Above the mother who is holding a child, what is written on the blue sign near the left hand of the figure wearing a red scarf?",OCR Recognition,QING YUN,,completed,image_or_turn_cap,12,11,99.2058972492814,1443,19947.1943359375,1,True,False,False,True,,False,False,False
TPROMPT2369f049b80b,What is the yellow English word on the sign above '寻味贵陽'?,OCR Recognition,mao,Old Guiyang,completed,answer,3,2,12.579082211479545,341,16722.28125,,False,False,False,True,False,False,False,False
TPROMPTd71e0ba6af48,What is written on the nameplate in front of the man wearing a dark blue short-sleeved shirt?,OCR Recognition,官塘镇,,completed,image_or_turn_cap,12,11,145.23033349961042,1738,22518.04052734375,1,True,False,False,True,,False,False,False
TPROMPTcc462aeedebc,"On the sign on top of the cart to the right of '特色凉拌菜' in the picture, what is the first character?",OCR Recognition,盐,,completed,image_or_turn_cap,12,11,60.394727723672986,1762,17094.3115234375,,False,False,False,True,,False,False,False
TPROMPTeb0a3413facb,"In the picture, what are the first two digits written on the first image to the right of the sticker of the bear wearing a red bow tie?",OCR Recognition,17,17,completed,answer,5,4,24.251680010929704,658,16868.6650390625,1,True,True,True,False,,False,True,False
TPROMPT373af397f515,"Please find the handwritten poster with a drawing of the Earth. On the poster that is directly above the first poster to its left, what is the text content?",OCR Recognition,WOMEN DESERVE BETTER OPTIONS,,completed,image_or_turn_cap,12,11,81.25340767391026,1512,18431.24560546875,,False,False,False,True,,False,False,False
TPROMPT3a4863b95c2a,"Among the cars with green license plates in the image, there is one with its tail lights off. What is the license plate number of this car?",OCR Recognition,渝A・AQ2580,A A50387,completed,answer,3,2,12.029759928584099,365,16489.16943359375,,False,False,False,True,False,False,False,False
TPROMPTa4c5c9ce4d5e,What are the first two characters of the second row on the second advertisement board under the sushi stand?,OCR Recognition,香茅,,completed,image_or_turn_cap,12,11,60.11840894073248,1773,17071.126953125,1,True,False,False,True,,False,False,False
TPROMPT4b58392e9fa0,What are the Chinese characters written on the white sign to the left of the green sign above the traffic light?,OCR Recognition,百好酒,,completed,image_or_turn_cap,12,11,63.164432188495994,1360,17548.42724609375,1,True,False,False,True,,False,False,False
TPROMPT87f194a501d8,"In the picture, what are the words on the top two lines of the white commercial sign above the pedestrian crossing sign in front of the Hyundai car?",OCR Recognition,LUSH FRESH,LUSH FRESH,completed,answer,3,2,15.56705684773624,404,16933.85546875,1,True,True,True,False,,False,True,False
TPROMPTe4c8f54e012c,"On the red sign next to the pink helmet, what is written in the last line?",OCR Recognition,夫宇脆皮肠,夫宇脆皮肠,completed,answer,4,3,21.884447304531932,533,17151.41455078125,1,True,True,True,False,,False,True,False
TPROMPTa57c2e299fb8,"Find all the short-sleeved shirts in the image. Among the white short-sleeved shirts with letters printed on them, what is the letter?",OCR Recognition,K,,completed,image_or_turn_cap,12,11,58.66965317353606,1712,17065.33203125,,False,False,False,True,,False,False,False
TPROMPT4332e08930fe,What are the two large characters written on the sign to the left of the shop sign below '酷秀KTV' in the picture?,OCR Recognition,曼迪,,completed,image_or_turn_cap,12,11,66.22538107819855,1488,17648.9384765625,1,True,False,False,True,,False,False,False
TPROMPT385ec69248ec,"On the blue sign below the ""马克猫"" flags, what are the characters after '地铁'?",OCR Recognition,公告栏,,completed,image_or_turn_cap,12,11,58.46688403002918,1616,17220.18701171875,2,True,False,False,True,,False,False,False
TPROMPT13b616f8c9dc,What characters are on the sign to the right of the '万岁小主' sign in the picture?,OCR Recognition,地道長沙味,文和,completed,answer,5,4,20.860765419900417,584,16739.7548828125,1,True,False,False,True,False,False,False,False
TPROMPT2d3a530d79de,What are the characters to the right of '咖啡' in the picture?,OCR Recognition,茶饮,,completed,image_or_turn_cap,12,11,56.84026967175305,1629,17128.16162109375,1,True,False,False,True,,False,False,False
TPROMPTe93c0e257ee2,What are the two rows of Chinese characters located on the far right of the picture?,OCR Recognition,上午，午夜,上午 午夜,completed,answer,4,3,13.414951192215085,383,16495.1611328125,1,True,False,False,True,True,False,True,False
TPROMPTbb4183eb9aa6,What is the number shown on the remote control's screen?,OCR Recognition,26,1,completed,answer,6,5,22.0035887286067,656,16588.4228515625,1,True,False,False,True,False,False,False,False
TPROMPTe12124092983,What is all the text on the sign of the e-cigarette shop in the picture?,OCR Recognition,悦刻电子烟,电子烟,completed,answer,4,3,15.603722712025046,418,16702.61572265625,1,True,False,False,True,False,False,False,False
TPROMPT44a5713acb48,Which sign in the picture has white circles on a red background?,OCR Recognition,冰拔絲地瓜,The Coca-Cola sign has white circles on a red background.,completed,answer,5,4,31.600689882412553,553,17791.90478515625,2,True,False,False,True,False,False,False,False
TPROMPT2d2649c0df2e,What color top is the person wearing the white headband in the picture wearing?,Color Recognition,Light green.,white,completed,answer,5,4,23.74009528942406,607,16868.86181640625,1,True,False,False,True,False,False,False,False
TPROMPTf44ca1b5cfe5,What is written on the red signboard in the picture?,OCR Recognition,博騰,,completed,image_or_turn_cap,12,11,89.09249342419207,1421,18940.88623046875,,False,False,False,True,,False,False,False
TPROMPT1490498cee1f,What are the characters on the sign to the right of '裘记单车修理铺'?,OCR Recognition,誠興麻雀公司,诚果麻辣公司,completed,answer,5,4,22.33716408908367,652,16734.1513671875,1,True,False,False,True,False,False,False,False
TPROMPT07c19ee8daef,"In the picture, what characters are written on the sign to the left of the sign printed with the characters '招财猫'?",OCR Recognition,时代汇,机床,completed,answer,4,3,14.614068698137999,462,16474.29052734375,1,True,False,False,True,False,False,False,False
TPROMPT6a3fb0bb1b31,"In the image, what are the characters that have a dark brown (purplish-brown) background and golden-yellow font?",OCR Recognition,红叶百货批发,魚,completed,answer,5,4,20.540720788761973,585,16695.51025390625,2,True,False,False,True,False,False,False,False
TPROMPT28c29c1db01e,What is the text on the sign to the left of '热干面' in the image?,OCR Recognition,提拉米苏,武汉正宗,completed,answer,3,2,12.584701830521226,312,16770.0419921875,1,True,False,False,True,False,False,False,False
TPROMPT26086032b3a7,What text is written below ‘请上’?,OCR Recognition,二楼,,completed,image_or_turn_cap,12,11,106.36360740661621,1169,20983.20068359375,2,True,False,False,True,,False,False,False
TPROMPT3e4fe0e13a53,What is the content below '娱乐KTV' in the picture?,OCR Recognition,请上三楼,一楼,completed,answer,3,2,9.547710524871945,280,16433.10009765625,1,True,False,False,True,False,False,False,False
TPROMPT35849bcca74c,What is the complete text on the sign that includes the word ‘手机’ in the image?,OCR Recognition,收售二手手机,收售二手手机,completed,answer,4,3,22.596155557781458,490,17242.86669921875,1,True,True,True,False,,False,True,False
TPROMPTc0529c3ff153,What is the text on the left side of the man's clothing？,OCR Recognition,30,京东秒送,completed,answer,4,3,13.245033675804734,361,16537.39208984375,,False,False,False,True,False,False,False,False
TPROMPT2adad2f7f441,What is the character to the right of '房' on the red sign above '星辰公寓'?,OCR Recognition,东,租,completed,answer,5,4,20.613075589761138,507,16831.66552734375,,False,False,False,True,False,False,False,False
TPROMPT00e974d39841,What are the characters written on the glass railing?,OCR Recognition,过年，就在天街,,completed,image_or_turn_cap,12,11,53.74687694199383,1240,17237.7001953125,,False,False,False,True,,False,False,False
TPROMPT17518843f8cc,What color are the two items of the same size located directly below the rectangular black object in the picture?,Color Recognition,Pink and green,brown,completed,answer,3,2,11.124068971723318,348,16454.548828125,1,True,False,False,True,False,False,False,False
TPROMPT8dd79a19623f,"In the picture, what color clothes is the person to the right of the woman drinking coconut juice wearing?",Color Recognition,Red,,invalid,unparsed_model_output,4,3,63.68105817772448,2461,16716.19677734375,,False,False,False,True,,False,False,False
TPROMPT9dad8fb37323,What color is the sunscreen bottle to the left of the phone in the picture?,Color Recognition,Blue,The sunscreen bottle to the left of the phone is blue.,completed,answer,5,4,18.3546277359128,554,16555.064453125,1,True,False,False,True,True,False,True,False
TPROMPT8f1a37f85a7b,"In the picture, what color is the headband on the cabinet that is closest to the TV?",Color Recognition,Purple,red,completed,answer,4,3,15.741877876222134,457,16521.50830078125,1,True,False,False,True,False,False,False,False
TPROMPTf9789aa0279c,"Among the pendants in the picture, there is a white puppy pendant. What is the color of its hat?",Color Recognition,Blue,,completed,image_or_turn_cap,12,11,59.47949958965182,1621,17127.27197265625,1,True,False,False,True,,False,False,False
TPROMPT5c4cd9457ec6,"In the photo, Cristiano Ronaldo is wearing blue and white clothes. What color is the headband of the toy figure directly below him?",Color Recognition,Black,white,completed,answer,3,2,11.078969076275826,346,16453.74853515625,,False,False,False,True,False,False,False,False
TPROMPTd707edeba9f3,What color is the bag carried by the person pushing the stroller in the picture?,Color Recognition,White,red,completed,answer,5,4,24.053492534905672,543,17122.322265625,1,True,False,False,True,False,False,False,False
TPROMPT9f45ab1d66fe,What color is the skincare product placed to the right of the Nivea facial cleanser?,Color Recognition,Blue,pink,completed,answer,4,3,17.66398262232542,512,16692.90673828125,1,True,False,False,True,False,False,False,False
TPROMPTa3ae8e428218,What color is the car below the figure with a yellow object on their head in the picture?,Color Recognition,yellow and green,The car is yellow.,completed,answer,3,2,11.87272683531046,360,16521.88818359375,1,True,False,False,True,False,False,False,False
TPROMPT88dc50778928,What color are the scissors in the cylindrical container in the picture?,Color Recognition,Blue or cyan or green.,The scissors in the cylindrical container are red.,completed,answer,2,1,6.456825697794557,177,16385.994140625,1,True,False,False,True,False,False,False,False
TPROMPTd02bc74ad0a8,What color clothes is the plush doll on the desk in the middle of the picture wearing?,Color Recognition,Dark blue,The plush doll is wearing black clothes.,completed,answer,3,2,11.475099002942443,322,16579.22998046875,1,True,False,False,True,False,False,False,False
TPROMPT5e89eb1273e1,"In the third row of the storage shelf from the top, what color is the pattern on the paper cup?",Color Recognition,Green,black,completed,answer,4,3,15.991349916905165,474,16606.7431640625,1,True,False,False,True,False,False,False,False
TPROMPT6e8ebd25acae,What color is the basin inside the pink basin behind the black mask in the picture?,Color Recognition,Blue,white,completed,answer,5,4,20.60734262689948,634,16590.00927734375,,False,False,False,True,False,False,False,False
TPROMPTe56ffa2da97d,What color is the hat paired with the white hoodie on the rack on the left side of the picture?,Color Recognition,Red,The hat paired with the white hoodie is black.,completed,answer,3,2,13.543856009840965,335,16877.0751953125,1,True,False,False,True,False,False,False,False
TPROMPTde7c9d8b1fa1,"In the picture, what color are the large scissors in the pen holder to the left of the pencil sharpener that is placed to the left of the mug?",Color Recognition,Green,The large scissors in the pen holder to the left of the pencil sharpener that is placed to the left of the mug are blue.,completed,answer,3,2,13.409247279167175,417,16551.06884765625,1,True,False,False,True,False,False,False,False
TPROMPT0a24f2bbb0a8,"Please find the person wearing a green hat in the picture, then locate the first person wearing a hat in the row to his left counting from front to back. What color is the clothing of the person behind this individual?",Color Recognition,Black,,completed,image_or_turn_cap,12,11,88.72320256009698,2360,17660.57177734375,,False,False,False,True,,False,False,False
TPROMPTcbf5caf2f74a,"In the picture, what color is the sun hat worn by the person in shorts who is closest to the car driving in the non-motorized vehicle lane?",Color Recognition,Black,Yellow,completed,answer,4,3,19.655083041638136,602,16684.53369140625,1,True,False,False,True,False,False,False,False
TPROMPT4315b27969c0,"In the bookcase to the right of the radio in the picture, what color is the cover of the fourth book from left to right?",Color Recognition,Blue,white,completed,answer,3,2,13.463086549192667,397,16605.05615234375,1,True,False,False,True,False,False,False,False
TPROMPT459e6815b3ad,What is the color of the item held by '吹笛子的少年' in front of the police figurine?,Color Recognition,Black,,completed,image_or_turn_cap,12,11,63.59663058258593,1935,17071.90380859375,,False,False,False,True,,False,False,False
TPROMPT65ab072c3b73,What is the color of the bag in the hand of the woman to the left of the person making a phone call gesture in the image?,Color Recognition,Black,,completed,image_or_turn_cap,12,11,71.75575349666178,1967,17330.0185546875,1,True,False,False,True,,False,False,False
TPROMPT4827f5bac79f,What color is the water ladle hanging in front of the yellow wooden board of the window in the picture?,Color Recognition,Pink,,completed,image_or_turn_cap,12,11,56.71784468740225,1374,17204.2978515625,1,True,False,False,True,,False,False,False
TPROMPT3d04f493f1e1,What color is the doll to the left of the picture frame below the dolphin doll in the picture?,Color Recognition,Cyan,The doll to the left of the picture frame below the dolphin doll is orange.,completed,answer,5,4,22.235283797606826,718,16598.45263671875,,False,False,False,True,False,False,False,False
TPROMPTcb89849b96c2,"Please find the whisk in the image, then find the item directly below the whisk that touches the ground and features a character. What color is the hat of the character on this item?",Color Recognition,White,,completed,image_or_turn_cap,12,11,88.07033702172339,1839,17945.32421875,1,True,False,False,True,,False,False,False
TPROMPT922f3a55568b,What color is the book directly above the sixth book to the right of the '古代中国内陆' book?,Color Recognition,Red,,completed,image_or_turn_cap,12,11,73.85961363650858,2047,17609.48388671875,1,True,False,False,True,,False,False,False
TPROMPT977be29c0aae,What color are the clothes worn by the first man to the left of the distribution box in front of the Honda sign?,Color Recognition,Black,white,completed,answer,11,10,134.33459475263953,1406,21255.3408203125,1,True,False,False,True,False,False,False,False
TPROMPT5d1d907d375f,"In the picture, what color clothes is the girl to the right of the girl carrying a water bottle wearing?",Color Recognition,Blue,The girl to the right of the girl carrying a water bottle is wearing black clothes.,completed,answer,4,3,20.147931084036827,470,17050.69677734375,,False,False,False,True,False,False,False,False
TPROMPT75c2356f5e0f,What color is the fourth doll to the left of the pink fan?,Color Recognition,Pink,yellow,completed,answer,3,2,13.636916624382138,405,16669.611328125,,False,False,False,True,False,False,False,False
TPROMPT8cdd00c71c72,"In the advertisement containing the characters '東海', what is the background color of the character '海'?",Color Recognition,Red or fuchsia or pink,,completed,image_or_turn_cap,12,11,101.6722164247185,1413,20304.970703125,1,True,False,False,True,,False,False,False
TPROMPT384c8f33e4cc,"There is a transparent box containing Kirby dolls, in the box to the bottom right of that box, what color is the hat?",Color Recognition,Light yellow,The hat is red.,completed,answer,8,7,38.12430619262159,1139,16844.0595703125,,False,False,False,True,False,False,False,False
TPROMPT11157b3d113c,What color is the basket located above the boxed '红烧牛肉面' and closer to the outside of the shop?,Color Recognition,Khaki,red,completed,answer,5,4,34.36383675597608,558,18090.5390625,3,True,False,False,True,False,False,False,False
TPROMPT94339f80b50d,What color is the bag carried by the woman in the khaki shirt in the picture?,Color Recognition,Black,,completed,image_or_turn_cap,12,11,103.08087625727057,1589,19922.72314453125,,False,False,False,True,,False,False,False
TPROMPTbf160f4c535d,What color is the skirt or trousers on the lower body of the woman wearing a headband in the picture?,Color Recognition,Green,,invalid,unparsed_model_output,5,4,70.6625690869987,2497,17167.81787109375,,False,False,False,True,,False,False,False
