sample_id,category,gt_answer_letter,raw_output,pred_answer_letter,correct,status,generation_time_sec
GPT4V-hard/0,GPT4V-hard,A,B,B,False,ok,2.0346
GPT4V-hard/1,GPT4V-hard,D,D,D,True,ok,1.8684
GPT4V-hard/10,GPT4V-hard,D,D,D,True,ok,1.5071
GPT4V-hard/12,GPT4V-hard,D,D,D,True,ok,2.0396
GPT4V-hard/13,GPT4V-hard,D,D,D,True,ok,0.9991
GPT4V-hard/14,GPT4V-hard,A,D,D,False,ok,2.0116
GPT4V-hard/15,GPT4V-hard,A,A,A,True,ok,2.0353
GPT4V-hard/16,GPT4V-hard,C,B,B,False,ok,2.0066
GPT4V-hard/17,GPT4V-hard,D,D,D,True,ok,2.0147
GPT4V-hard/18,GPT4V-hard,D,D,D,True,ok,1.6160
GPT4V-hard/19,GPT4V-hard,A,B,B,False,ok,2.0380
GPT4V-hard/2,GPT4V-hard,A,C,C,False,ok,2.0350
GPT4V-hard/21,GPT4V-hard,A,A,A,True,ok,2.0338
GPT4V-hard/4,GPT4V-hard,D,D,D,True,ok,2.0353
GPT4V-hard/5,GPT4V-hard,B,B,B,True,ok,2.0201
GPT4V-hard/7,GPT4V-hard,D,D,D,True,ok,2.0030
GPT4V-hard/8,GPT4V-hard,C,C,C,True,ok,2.0387
OCR/sa_17012,OCR,A,A,A,True,ok,2.0423
OCR/sa_17063,OCR,A,A,A,True,ok,2.0441
OCR/sa_18172,OCR,A,A,A,True,ok,2.0410
