seed,shard_id,num_shards,sample_index,sample_id,category,condition,k_irrelevant,status,original_image_path,gt_crop_path,irrelevant_crop_paths,all_image_paths_used,image_kinds_in_order,image_sizes_in_order,gt_crop_position,gt_crop_hash,gt_crop_file_hash,gt_crop_width,gt_crop_height,original_image_hash,full_image_processed_hash,prompt_text,gt_answer_letter,gt_answer_text,model_raw_output,pred_answer_letter,pred_answer_text,correct,valid_output,input_token_count,estimated_visual_token_count,per_image_visual_token_counts,distractor_visual_token_fraction,output_token_count,finish_reason,generation_time_sec,max_new_tokens,do_sample,processor_min_pixels,processor_max_pixels,crop_long_side,attn_implementation,dtype,error_message
42,4,8,164,relative_position/sa_23098,relative_position,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg,outputs/crops/relative_position__sa_23098/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg"", ""outputs/crops/relative_position__sa_23098/gt.png""]","[""original"", ""gt""]","[[2250, 1500], [448, 28]]",1,7bc2c1e8c28ed81a0c5921755a852d75f3faa0f042d7e8550d1c8aa86cf44373,91b3d157ba17d33c8a2a56fb9a82213bec8239185aea576e91ac2ce5abb34604,448,28,920ee19619c00bf4d047508abda10fc3473e77dcb965c5ba2f9fe956f08912be,78a6adc50cbe4179ad6d6a2d58a202b556d05602420124b7140a239bb4d5b091,"Is the cyclist on the left or right side of the woman's handbag?
(A) The cyclist is on the left side of the woman's handbag.
(B) The cyclist is on the right side of the woman's handbag.",A,The cyclist is on the left side of the woman's handbag.,A,A,The cyclist is on the left side of the woman's handbag.,True,True,1679,6012,"[4988, 1024]",0.00000000,2,eos,1.3838,64,False,200704,1003520,448,sdpa,bfloat16,
42,4,8,164,relative_position/sa_23098,relative_position,gt_plus_1_irrelevant,1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg,outputs/crops/relative_position__sa_23098/gt.png,"[""outputs/crops/relative_position__sa_23098/irrelevant_00.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg"", ""outputs/crops/relative_position__sa_23098/gt.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_00.png""]","[""original"", ""gt"", ""irrelevant""]","[[2250, 1500], [448, 28], [448, 30]]",1,7bc2c1e8c28ed81a0c5921755a852d75f3faa0f042d7e8550d1c8aa86cf44373,91b3d157ba17d33c8a2a56fb9a82213bec8239185aea576e91ac2ce5abb34604,448,28,920ee19619c00bf4d047508abda10fc3473e77dcb965c5ba2f9fe956f08912be,78a6adc50cbe4179ad6d6a2d58a202b556d05602420124b7140a239bb4d5b091,"Is the cyclist on the left or right side of the woman's handbag?
(A) The cyclist is on the left side of the woman's handbag.
(B) The cyclist is on the right side of the woman's handbag.",A,The cyclist is on the left side of the woman's handbag.,A,A,The cyclist is on the left side of the woman's handbag.,True,True,2042,7252,"[4988, 1024, 1240]",0.17098731,2,eos,1.2459,64,False,200704,1003520,448,sdpa,bfloat16,
42,4,8,164,relative_position/sa_23098,relative_position,gt_plus_4_irrelevant,4,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg,outputs/crops/relative_position__sa_23098/gt.png,"[""outputs/crops/relative_position__sa_23098/irrelevant_02.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_00.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_01.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_03.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg"", ""outputs/crops/relative_position__sa_23098/gt.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_02.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_00.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_01.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_03.png""]","[""original"", ""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[2250, 1500], [448, 28], [448, 28], [448, 30], [448, 28], [448, 36]]",1,7bc2c1e8c28ed81a0c5921755a852d75f3faa0f042d7e8550d1c8aa86cf44373,91b3d157ba17d33c8a2a56fb9a82213bec8239185aea576e91ac2ce5abb34604,448,28,920ee19619c00bf4d047508abda10fc3473e77dcb965c5ba2f9fe956f08912be,78a6adc50cbe4179ad6d6a2d58a202b556d05602420124b7140a239bb4d5b091,"Is the cyclist on the left or right side of the woman's handbag?
(A) The cyclist is on the left side of the woman's handbag.
(B) The cyclist is on the right side of the woman's handbag.",A,The cyclist is on the left side of the woman's handbag.,A,A,The cyclist is on the left side of the woman's handbag.,True,True,2992,10440,"[4988, 1024, 1024, 1240, 1024, 1140]",0.42413793,2,eos,2.1079,64,False,200704,1003520,448,sdpa,bfloat16,
42,4,8,164,relative_position/sa_23098,relative_position,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg,outputs/crops/relative_position__sa_23098/gt.png,"[""outputs/crops/relative_position__sa_23098/irrelevant_00.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_01.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_04.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_03.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_02.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_07.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_06.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_05.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_23098.jpg"", ""outputs/crops/relative_position__sa_23098/irrelevant_00.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_01.png"", ""outputs/crops/relative_position__sa_23098/gt.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_04.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_03.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_02.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_07.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_06.png"", ""outputs/crops/relative_position__sa_23098/irrelevant_05.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[2250, 1500], [448, 30], [448, 28], [448, 28], [448, 30], [448, 36], [448, 28], [448, 28], [448, 28], [448, 28]]",3,7bc2c1e8c28ed81a0c5921755a852d75f3faa0f042d7e8550d1c8aa86cf44373,91b3d157ba17d33c8a2a56fb9a82213bec8239185aea576e91ac2ce5abb34604,448,28,920ee19619c00bf4d047508abda10fc3473e77dcb965c5ba2f9fe956f08912be,78a6adc50cbe4179ad6d6a2d58a202b556d05602420124b7140a239bb4d5b091,"Is the cyclist on the left or right side of the woman's handbag?
(A) The cyclist is on the left side of the woman's handbag.
(B) The cyclist is on the right side of the woman's handbag.",A,The cyclist is on the left side of the woman's handbag.,A,A,The cyclist is on the left side of the woman's handbag.,True,True,4280,14752,"[4988, 1240, 1024, 1024, 1240, 1140, 1024, 1024, 1024, 1024]",0.59246204,2,eos,3.3332,64,False,200704,1003520,448,sdpa,bfloat16,
42,1,8,169,relative_position/sa_24464,relative_position,gt_plus_4_irrelevant,4,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_24464.jpg,outputs/crops/relative_position__sa_24464/gt.png,"[""outputs/crops/relative_position__sa_24464/irrelevant_03.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_02.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_01.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_00.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_24464.jpg"", ""outputs/crops/relative_position__sa_24464/irrelevant_03.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_02.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_01.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_00.png"", ""outputs/crops/relative_position__sa_24464/gt.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""gt""]","[[2250, 1500], [448, 31], [448, 49], [448, 28], [448, 28], [448, 33]]",5,621cdcac5740cf3d3743c5ec3d233f899a0e5d49baa8d6938910b1764a35f8c1,73f72c5545c1550cf2a2b3ebcc4c5051ed3c7daf1d33209c64ff3d562ffb2caf,448,33,d5c7c6cee7746acf226e48897c89367eb4b4d30a322d40e9b4ce813e2457a53c,948baacc0cd0d7ae3fc46f5747fef1bb116bf1d203bc0bcb52dd8743da24a14a,"Is the woman with a backpack on the left or right side of the person with a beanie?
(A) The woman with a backpack is on the right side of the person with a beanie.
(B) The woman with a backpack is on the left side of the person with a beanie.",B,The woman with a backpack is on the left side of the person with a beanie.,B,B,The woman with a backpack is on the left side of the person with a beanie.,True,True,3049,10612,"[4988, 1220, 1176, 1024, 1024, 1180]",0.41877120,2,eos,2.2058,64,False,200704,1003520,448,sdpa,bfloat16,
42,1,8,169,relative_position/sa_24464,relative_position,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_24464.jpg,outputs/crops/relative_position__sa_24464/gt.png,"[""outputs/crops/relative_position__sa_24464/irrelevant_04.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_03.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_05.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_06.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_07.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_02.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_01.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_00.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_24464.jpg"", ""outputs/crops/relative_position__sa_24464/irrelevant_04.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_03.png"", ""outputs/crops/relative_position__sa_24464/gt.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_05.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_06.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_07.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_02.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_01.png"", ""outputs/crops/relative_position__sa_24464/irrelevant_00.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[2250, 1500], [448, 28], [448, 31], [448, 33], [448, 33], [448, 51], [448, 28], [448, 49], [448, 28], [448, 28]]",3,621cdcac5740cf3d3743c5ec3d233f899a0e5d49baa8d6938910b1764a35f8c1,73f72c5545c1550cf2a2b3ebcc4c5051ed3c7daf1d33209c64ff3d562ffb2caf,448,33,d5c7c6cee7746acf226e48897c89367eb4b4d30a322d40e9b4ce813e2457a53c,948baacc0cd0d7ae3fc46f5747fef1bb116bf1d203bc0bcb52dd8743da24a14a,"Is the woman with a backpack on the left or right side of the person with a beanie?
(A) The woman with a backpack is on the right side of the person with a beanie.
(B) The woman with a backpack is on the left side of the person with a beanie.",B,The woman with a backpack is on the left side of the person with a beanie.,B,B,The woman with a backpack is on the left side of the person with a beanie.,True,True,4351,14992,"[4988, 1024, 1220, 1180, 1180, 1152, 1024, 1176, 1024, 1024]",0.58858058,2,eos,3.3758,64,False,200704,1003520,448,sdpa,bfloat16,
42,6,8,182,relative_position/sa_33280,relative_position,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg,outputs/crops/relative_position__sa_33280/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg"", ""outputs/crops/relative_position__sa_33280/gt.png""]","[""original"", ""gt""]","[[3976, 1500], [448, 28]]",1,7a991772d3cb4bb817190b45f7e9d706f650e425e611cd7ef88442f5609cc406,faa9c4c3b086b86d5638cab6ef71edb51b04e73395fe16b479483289060f36c4,448,28,9210728931a826428b0f17d2340f36418a5d64e0c1c88d5af9fd66b8412284c8,950a4e8082b5657e264715d2959cf87d5b7d9dce0afe81a3f86cc11110aad4ec,"Is the scooter on the left or right side of the cyclist?
(A) The scooter is on the right side of the cyclist.
(B) The scooter is on the left side of the cyclist.",A,The scooter is on the right side of the cyclist.,B,B,The scooter is on the left side of the cyclist.,False,True,1639,5896,"[4872, 1024]",0.00000000,2,eos,0.9664,64,False,200704,1003520,448,sdpa,bfloat16,
42,6,8,182,relative_position/sa_33280,relative_position,gt_plus_1_irrelevant,1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg,outputs/crops/relative_position__sa_33280/gt.png,"[""outputs/crops/relative_position__sa_33280/irrelevant_00.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg"", ""outputs/crops/relative_position__sa_33280/irrelevant_00.png"", ""outputs/crops/relative_position__sa_33280/gt.png""]","[""original"", ""irrelevant"", ""gt""]","[[3976, 1500], [448, 28], [448, 28]]",2,7a991772d3cb4bb817190b45f7e9d706f650e425e611cd7ef88442f5609cc406,faa9c4c3b086b86d5638cab6ef71edb51b04e73395fe16b479483289060f36c4,448,28,9210728931a826428b0f17d2340f36418a5d64e0c1c88d5af9fd66b8412284c8,950a4e8082b5657e264715d2959cf87d5b7d9dce0afe81a3f86cc11110aad4ec,"Is the scooter on the left or right side of the cyclist?
(A) The scooter is on the right side of the cyclist.
(B) The scooter is on the left side of the cyclist.",A,The scooter is on the right side of the cyclist.,B,B,The scooter is on the left side of the cyclist.,False,True,1947,6920,"[4872, 1024, 1024]",0.14797688,2,eos,1.2665,64,False,200704,1003520,448,sdpa,bfloat16,
42,6,8,182,relative_position/sa_33280,relative_position,gt_plus_4_irrelevant,4,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg,outputs/crops/relative_position__sa_33280/gt.png,"[""outputs/crops/relative_position__sa_33280/irrelevant_03.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_02.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_00.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_01.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg"", ""outputs/crops/relative_position__sa_33280/gt.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_03.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_02.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_00.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_01.png""]","[""original"", ""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[3976, 1500], [448, 28], [448, 28], [448, 28], [448, 28], [448, 28]]",1,7a991772d3cb4bb817190b45f7e9d706f650e425e611cd7ef88442f5609cc406,faa9c4c3b086b86d5638cab6ef71edb51b04e73395fe16b479483289060f36c4,448,28,9210728931a826428b0f17d2340f36418a5d64e0c1c88d5af9fd66b8412284c8,950a4e8082b5657e264715d2959cf87d5b7d9dce0afe81a3f86cc11110aad4ec,"Is the scooter on the left or right side of the cyclist?
(A) The scooter is on the right side of the cyclist.
(B) The scooter is on the left side of the cyclist.",A,The scooter is on the right side of the cyclist.,B,B,The scooter is on the left side of the cyclist.,False,True,2873,9992,"[4872, 1024, 1024, 1024, 1024, 1024]",0.40992794,2,eos,1.8942,64,False,200704,1003520,448,sdpa,bfloat16,
42,6,8,182,relative_position/sa_33280,relative_position,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg,outputs/crops/relative_position__sa_33280/gt.png,"[""outputs/crops/relative_position__sa_33280/irrelevant_05.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_03.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_06.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_01.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_02.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_00.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_04.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_07.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/relative_position/sa_33280.jpg"", ""outputs/crops/relative_position__sa_33280/irrelevant_05.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_03.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_06.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_01.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_02.png"", ""outputs/crops/relative_position__sa_33280/gt.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_00.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_04.png"", ""outputs/crops/relative_position__sa_33280/irrelevant_07.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[3976, 1500], [448, 28], [448, 28], [448, 28], [448, 28], [448, 28], [448, 28], [448, 28], [448, 28], [448, 28]]",6,7a991772d3cb4bb817190b45f7e9d706f650e425e611cd7ef88442f5609cc406,faa9c4c3b086b86d5638cab6ef71edb51b04e73395fe16b479483289060f36c4,448,28,9210728931a826428b0f17d2340f36418a5d64e0c1c88d5af9fd66b8412284c8,950a4e8082b5657e264715d2959cf87d5b7d9dce0afe81a3f86cc11110aad4ec,"Is the scooter on the left or right side of the cyclist?
(A) The scooter is on the right side of the cyclist.
(B) The scooter is on the left side of the cyclist.",A,The scooter is on the right side of the cyclist.,A,A,The scooter is on the right side of the cyclist.,True,True,4108,14088,"[4872, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",0.58148779,2,eos,3.0505,64,False,200704,1003520,448,sdpa,bfloat16,
