sample_id,category,condition,selection_type,original_valid,original_pred_answer_letter,original_raw_output,question,input_token_length,output_token_length,max_new_tokens,finish_reason_inferred,raw_output_rerun,pred_answer_letter_rerun,elapsed_sec,error
direct_attributes/sa_10033,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,A,A,Is the flag red or white?,1594,8,8,length,The flag in the image is white.,,2.7209,
direct_attributes/sa_10052,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,A,(A),What is the color of the plastic basin?,1596,8,8,length,The plastic basin in Evidence-1 appears,,1.3157,
direct_attributes/sa_10204,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,B,(B),What is the color of the van?,1595,8,8,length,The van in the image (Evidence-,,1.3095,
direct_attributes/sa_10225,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,A,A,Does the kid have curly hair or straight hair?,1597,8,8,length,The kid in the image appears to have,,1.3185,
direct_attributes/sa_10415,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,A,(A),What is the color of the fire hydrant?,1597,8,8,length,The fire hydrant in the image appears,,1.3119,
direct_attributes/sa_10701,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,C,(C),What is the color of the paraglider?,1597,8,8,length,The paraglider in the image appears,,1.3074,
direct_attributes/sa_10720,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,D,(D),How many people are in the oil painting?,1596,8,8,length,The oil painting in Evidence-1 shows,,1.3203,
direct_attributes/sa_10885,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,A,A,Is the flag blue and yellow or red and yellow?,1598,8,8,length,The flag in the image is blue and,,1.3262,
direct_attributes/sa_10919,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,D,(D),What is the color of the SUV car?,1596,8,8,length,The SUV car in the image appears to,,1.3161,
direct_attributes/sa_10997,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,C,(C),What kind of animal is in the poster?,1596,8,8,length,The poster appears to feature an image of,,1.3380,
direct_attributes/sa_11290,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,A,(A),What is the color of the umbrella?,1595,8,8,length,The umbrella in the image is blue.,,1.3093,
direct_attributes/sa_11370,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,D,(D),What is the color of the earring?,1596,8,8,length,The image provided does not show any visible,,1.3086,
direct_attributes/sa_11405,direct_attributes,gt_plus_4_irrelevant,matched_valid,True,A,(A),What is the color of the watchband?,1596,8,8,length,The watchband in the image appears to,,1.3175,
direct_attributes/sa_16854,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image does not provide enough detail to,What is the color of the watch?,1595,8,8,length,The image does not provide enough detail to,,1.3080,
direct_attributes/sa_24546,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any visible,What is the color of the suitcase?,1595,8,8,length,The image provided does not contain any visible,,1.3093,
direct_attributes/sa_25212,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any helmets,What is the color of the helmet?,1595,8,8,length,The image you provided does not contain any,,1.3407,
direct_attributes/sa_29744,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any visible,What is the color of the plastic stool?,1596,8,8,length,The image provided does not contain any information,,1.3091,
direct_attributes/sa_30411,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any visible,What is the color of the man's cap?,1597,8,8,length,The image provided does not contain any information,,1.3043,
direct_attributes/sa_31451,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any information,What is the color of the hat?,1595,8,8,length,The image you provided does not contain any,,1.3104,
direct_attributes/sa_39678,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any helmets,What is the color of the helmet?,1595,8,8,length,The image provided does not contain any helmets,,1.3102,
direct_attributes/sa_41908,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any guards,What is the color of the guard's glove?,1597,8,8,length,The image provided does not contain any guards,,1.3266,
direct_attributes/sa_55722,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image does not provide enough detail to,What is the color of the flute?,1595,8,8,length,The flute in the image appears to be,,1.3173,
direct_attributes/sa_60786,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,"The image does not contain an umbrella,",What is the color of the umbrella?,1595,8,8,length,The image does not contain an umbrella.,,1.3332,
direct_attributes/sa_66657,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any soda,What is the color of the soda can?,1596,8,8,length,The image you provided does not contain any,,1.3111,
direct_attributes/sa_68625,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image does not provide enough detail to,What is the color of the straw?,1595,8,8,length,The straw in the image appears to be,,1.3148,
direct_attributes/sa_6965,direct_attributes,gt_plus_4_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any visible,What is the color of the man's cap?,1597,8,8,length,The man in the image is wearing a,A,1.3083,
OCR/sa_17012,OCR,gt_plus_8_irrelevant,matched_valid,True,A,(A),What is the brand of the bag?,1595,8,8,length,The brand of the bag in the image,,1.3194,
OCR/sa_42566,OCR,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The number on the traffic light screen in,Tell me the number on the traffic light screen.,1597,8,8,length,The image shows a traffic light with a,A,1.3199,
direct_attributes/sa_10033,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,A,Is the flag red or white?,1594,8,8,length,The flag in the image is white.,,1.3119,
direct_attributes/sa_10052,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,A,What is the color of the plastic basin?,1596,8,8,length,The plastic basin in Evidence-7 appears,,1.3193,
direct_attributes/sa_10204,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,B,B,What is the color of the van?,1595,8,8,length,The van in the image is red.,,1.3353,
direct_attributes/sa_10225,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,B,(B),Does the kid have curly hair or straight hair?,1597,8,8,length,The kid in the image has curly hair,,1.3089,
direct_attributes/sa_10415,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,A,What is the color of the fire hydrant?,1597,8,8,length,The fire hydrant in the image appears,,1.3104,
direct_attributes/sa_10701,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,C,(C),What is the color of the paraglider?,1597,8,8,length,The paraglider in the image appears,,1.3053,
direct_attributes/sa_10720,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,D,(D),How many people are in the oil painting?,1596,8,8,length,The image you provided does not contain an,,1.3201,
direct_attributes/sa_10885,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,A,Is the flag blue and yellow or red and yellow?,1598,8,8,length,The flag in the image is blue and,,1.3071,
direct_attributes/sa_10919,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,D,(D),What is the color of the SUV car?,1596,8,8,length,The SUV car in the image appears to,,1.3196,
direct_attributes/sa_10997,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,C,(C),What kind of animal is in the poster?,1596,8,8,length,The poster appears to feature an image of,,1.3214,
direct_attributes/sa_11290,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,(A),What is the color of the umbrella?,1595,8,8,length,The umbrella in the image is blue.,,1.3044,
direct_attributes/sa_11370,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,D,(D),What is the color of the earring?,1596,8,8,length,The image provided does not show any e,,1.3173,
direct_attributes/sa_11405,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,A,What is the color of the watchband?,1596,8,8,length,The watchband in the image appears to,,1.3172,
direct_attributes/sa_11528,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,(A),What is the color of the woman's bikini?,1597,8,8,length,The woman in the image appears to be,,1.3321,
direct_attributes/sa_1244,direct_attributes,gt_plus_8_irrelevant,matched_valid,True,A,(A),What is the color of the apples?,1595,8,8,length,The apples in the image are green.,,1.3159,
direct_attributes/sa_16854,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image does not provide enough detail to,What is the color of the watch?,1595,8,8,length,The image does not provide enough detail to,,1.3216,
direct_attributes/sa_24546,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any visible,What is the color of the suitcase?,1595,8,8,length,The image you provided does not contain any,,1.3201,
direct_attributes/sa_25212,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any helmets,What is the color of the helmet?,1595,8,8,length,The image you provided does not contain any,,1.3195,
direct_attributes/sa_25219,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,True,A,"The image does not contain a flag,",What is the color of the flag?,1595,8,8,length,The flag in the image is not clearly,,1.3268,
direct_attributes/sa_29744,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any visible,What is the color of the plastic stool?,1596,8,8,length,The image does not contain any plastic stools,,1.3147,
direct_attributes/sa_30411,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any visible,What is the color of the man's cap?,1597,8,8,length,The image provided does not contain any information,,1.3075,
direct_attributes/sa_35748,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,True,A,"The image does not contain a scooter,",What is the color of the scooter?,1595,8,8,length,The image you provided does not contain a,A,1.3111,
direct_attributes/sa_38155,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,"The image does not contain any cars,",What is the color of the car?,1595,8,8,length,The image does not contain any cars.,,1.3214,
direct_attributes/sa_39518,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any tissue,What is the color of the tissue box?,1596,8,8,length,The image you provided does not contain a,A,1.3299,
direct_attributes/sa_39678,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any helmets,What is the color of the helmet?,1595,8,8,length,The image provided does not contain any helmets,,1.3137,
direct_attributes/sa_41908,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any guards,What is the color of the guard's glove?,1597,8,8,length,The image you provided does not contain any,,1.3182,
direct_attributes/sa_55722,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,True,A,"The image does not contain a flute,",What is the color of the flute?,1595,8,8,length,The flute in the image appears to be,,1.3131,
direct_attributes/sa_58805,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any information,What is the color of the tablecloth?,1596,8,8,length,The image you provided does not contain a,A,1.3095,
direct_attributes/sa_60786,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,"The image does not contain an umbrella,",What is the color of the umbrella?,1595,8,8,length,The image does not contain an umbrella.,,1.3201,
direct_attributes/sa_66657,direct_attributes,gt_plus_8_irrelevant,invalid_or_suspicious,False,,The image provided does not contain any soda,What is the color of the soda can?,1596,8,8,length,The image you provided does not contain any,,1.3242,
