sample_id,condition,uses_contact_sheet,num_messages,num_images,expected_images,separate_image_messages_pass,has_system_prompt,has_final_instruction
GPT4V-hard/0,original_only,False,3,1,1,True,True,True
GPT4V-hard/0,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/0,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/1,original_only,False,3,1,1,True,True,True
GPT4V-hard/1,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/1,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/10,original_only,False,3,1,1,True,True,True
GPT4V-hard/10,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/10,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/12,original_only,False,3,1,1,True,True,True
GPT4V-hard/12,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/12,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/13,original_only,False,3,1,1,True,True,True
GPT4V-hard/13,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/13,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/14,original_only,False,3,1,1,True,True,True
GPT4V-hard/14,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/14,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/15,original_only,False,3,1,1,True,True,True
GPT4V-hard/15,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/15,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/16,original_only,False,3,1,1,True,True,True
GPT4V-hard/16,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/16,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/17,original_only,False,3,1,1,True,True,True
GPT4V-hard/17,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/17,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/18,original_only,False,3,1,1,True,True,True
GPT4V-hard/18,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/18,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/19,original_only,False,3,1,1,True,True,True
GPT4V-hard/19,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/19,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/2,original_only,False,3,1,1,True,True,True
GPT4V-hard/2,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/2,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/21,original_only,False,3,1,1,True,True,True
GPT4V-hard/21,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/21,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/4,original_only,False,3,1,1,True,True,True
GPT4V-hard/4,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/4,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/5,original_only,False,3,1,1,True,True,True
GPT4V-hard/5,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/5,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/7,original_only,False,3,1,1,True,True,True
GPT4V-hard/7,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/7,gt_plus_8_irrelevant,False,21,10,10,True,True,True
GPT4V-hard/8,original_only,False,3,1,1,True,True,True
GPT4V-hard/8,gt_crop_only,False,5,2,2,True,True,True
GPT4V-hard/8,gt_plus_8_irrelevant,False,21,10,10,True,True,True
OCR/sa_17012,original_only,False,3,1,1,True,True,True
OCR/sa_17012,gt_crop_only,False,5,2,2,True,True,True
OCR/sa_17012,gt_plus_8_irrelevant,False,21,10,10,True,True,True
OCR/sa_17063,original_only,False,3,1,1,True,True,True
OCR/sa_17063,gt_crop_only,False,5,2,2,True,True,True
OCR/sa_17063,gt_plus_8_irrelevant,False,21,10,10,True,True,True
OCR/sa_18172,original_only,False,3,1,1,True,True,True
OCR/sa_18172,gt_crop_only,False,5,2,2,True,True,True
OCR/sa_18172,gt_plus_8_irrelevant,False,21,10,10,True,True,True
