sample_id,category,condition,k_irrelevant,gt_answer_letter,pred_answer_letter,question,model_raw_output,invalid_prediction,phrase_suspicious
OCR/sa_42566,OCR,gt_plus_1_irrelevant,1,D,,Tell me the number on the traffic light screen.,The traffic light screen in the image shows,True,False
OCR/sa_42566,OCR,gt_plus_8_irrelevant,8,D,,Tell me the number on the traffic light screen.,The number on the traffic light screen in,True,False
direct_attributes/sa_16854,direct_attributes,gt_crop_only,0,B,,What is the color of the watch?,The image does not provide enough detail to,True,False
direct_attributes/sa_16854,direct_attributes,gt_plus_4_irrelevant,4,B,,What is the color of the watch?,The image does not provide enough detail to,True,False
direct_attributes/sa_16854,direct_attributes,gt_plus_8_irrelevant,8,B,,What is the color of the watch?,The image does not provide enough detail to,True,False
direct_attributes/sa_24546,direct_attributes,gt_plus_4_irrelevant,4,D,,What is the color of the suitcase?,The image provided does not contain any visible,True,False
direct_attributes/sa_24546,direct_attributes,gt_plus_8_irrelevant,8,D,,What is the color of the suitcase?,The image provided does not contain any visible,True,False
direct_attributes/sa_25212,direct_attributes,original_only,0,D,,What is the color of the helmet?,"The image does not contain any helmets,",True,False
direct_attributes/sa_25212,direct_attributes,gt_plus_4_irrelevant,4,D,,What is the color of the helmet?,The image provided does not contain any helmets,True,False
direct_attributes/sa_25212,direct_attributes,gt_plus_8_irrelevant,8,D,,What is the color of the helmet?,The image provided does not contain any helmets,True,False
direct_attributes/sa_28392,direct_attributes,gt_plus_1_irrelevant,1,B,,What is the color of the backpack?,The image does not provide enough detail to,True,False
direct_attributes/sa_29744,direct_attributes,gt_plus_4_irrelevant,4,B,,What is the color of the plastic stool?,The image provided does not contain any visible,True,False
direct_attributes/sa_29744,direct_attributes,gt_plus_8_irrelevant,8,B,,What is the color of the plastic stool?,The image provided does not contain any visible,True,False
direct_attributes/sa_30179,direct_attributes,original_only,0,B,,What is the color of the bicycle?,The image does not provide enough detail to,True,False
direct_attributes/sa_30411,direct_attributes,gt_plus_1_irrelevant,1,B,,What is the color of the man's cap?,None of the options provided are correct as,True,False
direct_attributes/sa_30411,direct_attributes,gt_plus_4_irrelevant,4,B,,What is the color of the man's cap?,The image provided does not contain any visible,True,False
direct_attributes/sa_30411,direct_attributes,gt_plus_8_irrelevant,8,B,,What is the color of the man's cap?,The image provided does not contain any visible,True,False
direct_attributes/sa_31451,direct_attributes,gt_plus_4_irrelevant,4,C,,What is the color of the hat?,The image provided does not contain any information,True,False
direct_attributes/sa_38155,direct_attributes,gt_plus_8_irrelevant,8,D,,What is the color of the car?,"The image does not contain any cars,",True,False
direct_attributes/sa_39518,direct_attributes,gt_crop_only,0,B,,What is the color of the tissue box?,The image provided does not contain any tissue,True,False
direct_attributes/sa_39518,direct_attributes,gt_plus_8_irrelevant,8,B,,What is the color of the tissue box?,The image provided does not contain any tissue,True,False
direct_attributes/sa_39678,direct_attributes,gt_plus_4_irrelevant,4,A,,What is the color of the helmet?,The image provided does not contain any helmets,True,False
direct_attributes/sa_39678,direct_attributes,gt_plus_8_irrelevant,8,A,,What is the color of the helmet?,The image provided does not contain any helmets,True,False
direct_attributes/sa_41908,direct_attributes,gt_plus_4_irrelevant,4,B,,What is the color of the guard's glove?,The image provided does not contain any guards,True,False
direct_attributes/sa_41908,direct_attributes,gt_plus_8_irrelevant,8,B,,What is the color of the guard's glove?,The image provided does not contain any guards,True,False
direct_attributes/sa_55722,direct_attributes,gt_crop_only,0,C,,What is the color of the flute?,The image provided does not contain any visible,True,False
direct_attributes/sa_55722,direct_attributes,gt_plus_1_irrelevant,1,C,,What is the color of the flute?,The image provided does not contain any visible,True,False
direct_attributes/sa_55722,direct_attributes,gt_plus_4_irrelevant,4,C,,What is the color of the flute?,The image does not provide enough detail to,True,False
direct_attributes/sa_58805,direct_attributes,gt_plus_8_irrelevant,8,C,,What is the color of the tablecloth?,The image provided does not contain any information,True,False
direct_attributes/sa_60786,direct_attributes,gt_crop_only,0,D,,What is the color of the umbrella?,"The image does not contain an umbrella,",True,False
direct_attributes/sa_60786,direct_attributes,gt_plus_1_irrelevant,1,D,,What is the color of the umbrella?,"The image does not contain an umbrella,",True,False
direct_attributes/sa_60786,direct_attributes,gt_plus_4_irrelevant,4,D,,What is the color of the umbrella?,"The image does not contain an umbrella,",True,False
direct_attributes/sa_60786,direct_attributes,gt_plus_8_irrelevant,8,D,,What is the color of the umbrella?,"The image does not contain an umbrella,",True,False
direct_attributes/sa_66657,direct_attributes,gt_plus_4_irrelevant,4,C,,What is the color of the soda can?,The image provided does not contain any soda,True,False
direct_attributes/sa_66657,direct_attributes,gt_plus_8_irrelevant,8,C,,What is the color of the soda can?,The image provided does not contain any soda,True,False
direct_attributes/sa_68625,direct_attributes,gt_plus_4_irrelevant,4,B,,What is the color of the straw?,The image does not provide enough detail to,True,False
direct_attributes/sa_6965,direct_attributes,gt_plus_4_irrelevant,4,D,,What is the color of the man's cap?,The image provided does not contain any visible,True,False
