section,key,count
condition,gt_crop_only,4
condition,gt_plus_1_irrelevant,5
condition,gt_plus_4_irrelevant,13
condition,gt_plus_8_irrelevant,13
condition,original_only,2
category,OCR,2
category,direct_attributes,35
top_raw_prefix,The image provided does not contain any visible,9
top_raw_prefix,The image does not provide enough detail to,7
top_raw_prefix,The image provided does not contain any helmets,4
top_raw_prefix,"The image does not contain an umbrella,",4
top_raw_prefix,The image provided does not contain any tissue,2
top_raw_prefix,The image provided does not contain any guards,2
top_raw_prefix,The image provided does not contain any soda,2
top_raw_prefix,The image provided does not contain any information,2
top_raw_prefix,The traffic light screen in the image shows,1
top_raw_prefix,"The image does not contain any helmets,",1
top_raw_prefix,The number on the traffic light screen in,1
top_raw_prefix,"The image does not contain any cars,",1
top_raw_prefix,None of the options provided are correct as,1
