seed,sample_id,category,condition,k_irrelevant,image_path,question,options_shuffled,gt_answer_letter,gt_answer_text,gt_bbox_xywh,gt_position,num_tool_turns,num_images,crop_bboxes_xyxy,crop_kinds_in_order,crop_sizes_in_order,full_image_hash,gt_crop_hash,full_image_visual_tokens,gt_crop_visual_tokens,input_token_count,estimated_visual_token_count,max_new_tokens,output_token_count,finish_reason,model_raw_output,pred_answer_letter,pred_answer_text,valid,correct,inference_time_sec,error
42,GPT4V-hard/0,GPT4V-hard,original_only,-1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,"[2039.0, 1370.0, 143.0, 203.0]",,0,1,[],[],[],f12f9f00d9cce67d4ed40e7006efed9876b9d0a6f6be8ef54abc24dde1f4aa90,c1ee126f82e057135fc475bce39a6feb4449833a15f88efe1177781a6f03f3f8,61004,704,,,64,,,,,,False,False,,"CUDA out of memory. Tried to allocate 6.93 GiB. GPU 0 has a total capacity of 23.57 GiB of which 3.00 GiB is free. Including non-PyTorch memory, this process has 20.55 GiB memory in use. Of the allocated memory 13.15 GiB is allocated by PyTorch, and 7.09 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
42,GPT4V-hard/0,GPT4V-hard,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,"[2039.0, 1370.0, 143.0, 203.0]",,0,1,[],[],[],f12f9f00d9cce67d4ed40e7006efed9876b9d0a6f6be8ef54abc24dde1f4aa90,c1ee126f82e057135fc475bce39a6feb4449833a15f88efe1177781a6f03f3f8,61004,704,,,64,,,,,,False,False,,"CUDA out of memory. Tried to allocate 7.09 GiB. GPU 0 has a total capacity of 23.57 GiB of which 3.44 GiB is free. Including non-PyTorch memory, this process has 20.11 GiB memory in use. Of the allocated memory 9.86 GiB is allocated by PyTorch, and 9.94 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
42,GPT4V-hard/0,GPT4V-hard,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,"[2039.0, 1370.0, 143.0, 203.0]",,0,1,[],[],[],f12f9f00d9cce67d4ed40e7006efed9876b9d0a6f6be8ef54abc24dde1f4aa90,c1ee126f82e057135fc475bce39a6feb4449833a15f88efe1177781a6f03f3f8,61004,704,,,64,,,,,,False,False,,"CUDA out of memory. Tried to allocate 8.67 GiB. GPU 0 has a total capacity of 23.57 GiB of which 3.72 GiB is free. Including non-PyTorch memory, this process has 19.83 GiB memory in use. Of the allocated memory 11.60 GiB is allocated by PyTorch, and 7.92 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
42,GPT4V-hard/1,GPT4V-hard,original_only,-1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,"[1046.0, 521.0, 36.0, 53.0]",,0,1,[],[],[],d5088411cc1ab620f569bf7d18efeaebb9906ad3d9f8fdec2947fba740e3c3c5,e037aaca3a9e078154912ffb2311062f61153c94dff571c7917b5e88be991027,9108,704,2444,9108,64,2,eos,D,D,The color of the liquid contained in the glass on the table is green.,True,True,2.0749,
42,GPT4V-hard/1,GPT4V-hard,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,"[1046.0, 521.0, 36.0, 53.0]",1,1,2,"[[1046, 521, 1082, 574]]","[""gt""]","[[304, 448]]",d5088411cc1ab620f569bf7d18efeaebb9906ad3d9f8fdec2947fba740e3c3c5,e037aaca3a9e078154912ffb2311062f61153c94dff571c7917b5e88be991027,9108,704,2673,9812,64,2,eos,D,D,The color of the liquid contained in the glass on the table is green.,True,True,1.9804,
42,GPT4V-hard/1,GPT4V-hard,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,"[1046.0, 521.0, 36.0, 53.0]",1,9,10,"[[1046, 521, 1082, 574], [283, 601, 325, 672], [824, 287, 877, 338], [1270, 568, 1325, 635], [1346, 396, 1398, 452], [458, 183, 499, 222], [885, 179, 931, 224], [749, 154, 776, 215], [1793, 24, 1829, 76]]","[""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[304, 448], [265, 448], [448, 431], [368, 448], [416, 448], [448, 426], [448, 438], [198, 448], [310, 448]]",d5088411cc1ab620f569bf7d18efeaebb9906ad3d9f8fdec2947fba740e3c3c5,e037aaca3a9e078154912ffb2311062f61153c94dff571c7917b5e88be991027,9108,704,4701,16276,64,2,eos,D,D,The color of the liquid contained in the glass on the table is green.,True,True,4.0442,
42,GPT4V-hard/10,GPT4V-hard,original_only,-1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,"[858.0, 387.0, 51.0, 129.0]",,0,1,[],[],[],228f077acb85e7ba07eeedcd7aaec139e38ae7e4295a134596063fd5b918ca5b,0f088613bfb45462b9d9be46f2b9e9db4ff3ae9c0a4bf782a40d5c3e221dad4e,7440,384,2002,7440,64,2,eos,D,D,The instrument held by an ape is a guitar.,True,True,1.3684,
42,GPT4V-hard/10,GPT4V-hard,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,"[858.0, 387.0, 51.0, 129.0]",1,1,2,"[[858, 387, 909, 516]]","[""gt""]","[[177, 448]]",228f077acb85e7ba07eeedcd7aaec139e38ae7e4295a134596063fd5b918ca5b,0f088613bfb45462b9d9be46f2b9e9db4ff3ae9c0a4bf782a40d5c3e221dad4e,7440,384,2149,7824,64,2,eos,D,D,The instrument held by an ape is a guitar.,True,True,1.4422,
42,GPT4V-hard/10,GPT4V-hard,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,"[858.0, 387.0, 51.0, 129.0]",4,9,10,"[[922, 20, 1010, 166], [941, 100, 1015, 251], [541, 130, 620, 270], [858, 387, 909, 516], [376, 585, 447, 753], [682, 510, 729, 611], [842, 178, 886, 319], [742, 6, 813, 156], [651, 605, 708, 743]]","[""irrelevant"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[270, 448], [220, 448], [253, 448], [177, 448], [189, 448], [208, 448], [140, 448], [212, 448], [185, 448]]",228f077acb85e7ba07eeedcd7aaec139e38ae7e4295a134596063fd5b918ca5b,0f088613bfb45462b9d9be46f2b9e9db4ff3ae9c0a4bf782a40d5c3e221dad4e,7440,384,3532,11728,64,2,eos,D,D,The instrument held by an ape is a guitar.,True,True,2.5520,
42,GPT4V-hard/12,GPT4V-hard,original_only,-1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,What is the color of the mug?,"[""The color of the mug is black."", ""The color of the mug is red."", ""The color of the mug is white."", ""The color of the mug is blue.""]",D,The color of the mug is blue.,"[4599.0, 1296.0, 205.0, 223.0]",,0,1,[],[],[],20378f2c32088359999796b96d2b25e1a220c076ae57db60110516f04db7d815,263fcd890ac35161c5eec7c4fbfbaa33993a7ae6e4af894e8987217274864684,64896,960,,,64,,,,,,False,False,,"CUDA out of memory. Tried to allocate 7.85 GiB. GPU 0 has a total capacity of 23.57 GiB of which 3.72 GiB is free. Including non-PyTorch memory, this process has 19.83 GiB memory in use. Of the allocated memory 10.69 GiB is allocated by PyTorch, and 8.83 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
