sample_id,condition,category,baseline_answer_present,baseline_correct,baseline_status,prefix_crop_count,prefix_gt_hit,max_prefix_gt_coverage,retained_crop_indices,evicted_crop_indices,retained_gt_coverages,retained_prefix_image_count,evicted_prefix_image_count,available_prefix_source_names,cumulative_acquired_images_at_intervention,next_observation_index,unavailable_source_call_count,force_answer_protocol_violation,post_intervention_answer_present,post_intervention_final_answer,post_intervention_status,post_intervention_correct_exact,post_intervention_correct_normalized,num_additional_crops,total_final_crops,natural_stop,forced_answer,final_round,reached_max_rounds,reached_max_images,input_tokens_first_post_intervention,visual_tokens_first_post_intervention,visual_tokens_per_image_first_post_intervention,prefix_visual_tokens_after_intervention,input_images_first_post_intervention,runtime_seconds,peak_gpu_memory_mb,oom,invalid,stop_reason,error_type,error_message,prefix_snapshot_sha256,original_image_sha256,assistant_text_sha256
TPROMPT08c724f096a1,E_random_top2,Spatial Relationship,False,False,completed,6,True,1.0,"[4, 5]","[1, 2, 3, 6]","[0.0, 0.0]",2,4,"[""original_image"", ""observation_4"", ""observation_5""]",7,7,4,False,False,,completed,False,False,1,7,False,False,12,True,False,3832,2117,"[1989, 66, 62]",128,3,34.10865292698145,16907.9560546875,False,False,image_or_turn_cap,,,6383a18198b839b9de7ad834e44af2ccea0f7895dacf59a83b91bb9174c423ef,353f746430dbe295fbfbccc16a231e3cf71f66e31532287d5b6319609622986a,cd932cc7f99faf426c877b072b46b27345a86078a5cd0020b40218d014f3e556
TPROMPT294532df0b70,E_random_top2,Occluded Object Recognition,False,False,completed,6,True,1.0,"[3, 4]","[1, 2, 5, 6]","[0.24509803921568626, 0.24509803921568626]",2,4,"[""original_image"", ""observation_3"", ""observation_4""]",7,7,1,False,False,,completed,False,False,4,10,False,False,12,True,False,3632,1984,"[1872, 56, 56]",112,3,27.320111779496074,17022.203125,False,False,image_or_turn_cap,,,21f4c56bfcf6f6bd24f8edf2966e30d080caccf23d40d33ab2e269449a9e3162,e8cc31dc8f857b9fbde0868adf58530910c8d6ccb6417956bc2cdffda5051cc2,9a9e8aa4e5f549120564834cf49011144534a3a33ecb0597507193723dc74c19
TPROMPT2d3a530d79de,E_random_top2,OCR Recognition,False,False,completed,6,True,1.0,"[1, 2]","[3, 4, 5, 6]","[1.0, 1.0]",2,4,"[""original_image"", ""observation_1"", ""observation_2""]",7,7,3,False,False,,completed,False,False,2,8,False,False,12,True,False,3944,2349,"[1989, 225, 135]",360,3,30.785396575927734,16970.123046875,False,False,image_or_turn_cap,,,2e0fee79a45c2c2083c6bc5849503dc45a85405785ef803041de93b2f7efd08d,979d26cefd12b17384849e18a6bd42c2a87dd3daf90e7fe529bc7df82f399eb2,fb0470517d6154ac6893efa6dc59b7b5c8cf923f268fd0de7f1d6113440c5061
TPROMPT312e2d4924ab,E_random_top2,Entity Recognition,False,False,completed,6,True,1.0,"[2, 6]","[1, 3, 4, 5]","[0.15526264426162062, 0.25894425558265616]",2,4,"[""original_image"", ""observation_2"", ""observation_6""]",7,7,5,False,False,,completed,False,False,0,6,False,False,12,True,False,7130,5394,"[2494, 1250, 1650]",2900,3,42.098081316798925,17541.58056640625,False,False,image_or_turn_cap,,,a817031bb7a8b767d3d6124a6be837070cee5ae136dea270933f16654d0723d1,8e44beb0cdb7bf56debda8144a3f8ce49e3cbba599648264e5ca93f0d05c23f8,b4db28398972c403a31bada0427878c7641412abdec96462362bc32e2375feb3
TPROMPT4e84c67324b4,E_random_top2,Spatial Relationship,False,False,completed,6,True,0.7258064516129032,"[2, 4]","[1, 3, 5, 6]","[0.0, 0.0]",2,4,"[""original_image"", ""observation_2"", ""observation_4""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,4641,2934,"[2494, 352, 88]",440,3,33.28989287093282,17233.41162109375,False,False,image_or_turn_cap,,,7a7fb03b684433e2690237e45b3f4899c0243a127c3409fc62b714dd9fae9031,bc0be9843a7c3fdc2bb6ceae39f7852397a7998227962f93c9b10e588822382e,a5d106f1dbe445f88f2c6db9c6bbdfc7674ca838f967c1bd4cb6f40d6790983e
TPROMPT59892e5d6946,E_random_top2,Entity Recognition,False,False,completed,6,True,1.0,"[1, 3]","[2, 4, 5, 6]","[1.0, 1.0]",2,4,"[""original_image"", ""observation_1"", ""observation_3""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,4365,2528,"[1989, 483, 56]",539,3,36.01356437057257,17166.208984375,False,False,image_or_turn_cap,,,908f7d8f0f85a3caceb79e4cd8978fb386a54f0b2351eb1f4455e62d2a657efc,8b331d8d28376851b2069feb67bad2b5822e576a760a59b65650b70b944d4276,ba8a0c336b9d00edc0575c19b09808375ad398d7aa68c6ba38b2b44563892526
TPROMPT642beb76b8d9,E_random_top2,Spatial Relationship,False,False,completed,6,True,1.0,"[2, 5]","[1, 3, 4, 6]","[0.0, 0.0]",2,4,"[""original_image"", ""observation_2"", ""observation_5""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,3807,2439,"[1989, 225, 225]",450,3,24.487525502219796,17039.490234375,False,False,image_or_turn_cap,,,a17adbfa9c0934530dc5af0f076aa5ea9f6f5230c3408bf1fbdb2f40e8cd16b1,856be3bab3f73045cba062fe8fc4fe12ca57fcb9342792f98e8b9e580f4b0402,305860ec841870393b82a8afdb95f2b7462c95afe8f29c15b8585464a311be74
TPROMPTbbf9cdc186ad,E_random_top2,OCR Recognition,False,False,completed,6,True,1.0,"[1, 4]","[2, 3, 5, 6]","[1.0, 0.52]",2,4,"[""original_image"", ""observation_1"", ""observation_4""]",7,7,3,False,False,,completed,False,False,2,8,False,False,12,True,False,4111,2610,"[1989, 567, 54]",621,3,29.301050951704383,17071.07861328125,False,False,image_or_turn_cap,,,a7db1a73aa1e6869ee140ab7493c4d78a73a0312ae4e33a4fdc9f3cc34948199,54b0ff9afb1f75b695a54f75b550b76372e4b356f26de284ed44309f1e60007a,f4798f929cd7ab89ecacdbed099c25db220235761c4b5427d1b127f40c79e41b
TPROMPTe2ae8879903b,E_random_top2,Entity Recognition,False,False,completed,6,True,1.0,"[2, 6]","[1, 3, 4, 5]","[1.0, 1.0]",2,4,"[""original_image"", ""observation_2"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,4250,2270,"[1989, 56, 225]",281,3,38.447354009374976,17120.13330078125,False,False,image_or_turn_cap,,,7d7f3168439cb1c63e26edd980f0d259b215b23470cc4c7d8faa904ecb06e879,277b9ee9be80bd5f18bfcb364b817146e37793f6c4be3d72bd53d9387c572b33,6654750d5c2dfce34a3bb0c97ec00539ab9b7df3f8807e25d44a8cc49449d13b
TPROMPTf9789aa0279c,E_random_top2,Color Recognition,False,False,completed,6,True,1.0,"[1, 2]","[3, 4, 5, 6]","[1.0, 0.0]",2,4,"[""original_image"", ""observation_1"", ""observation_2""]",7,7,3,False,False,,completed,False,False,2,8,False,False,12,True,False,4548,2999,"[2494, 441, 64]",505,3,27.348420245572925,17092.34033203125,False,False,image_or_turn_cap,,,843d516ba30ccbcec0626652014a7ad30963aec567a0a3bcde025afa92a210e2,ea2a16a46f4a22abbece150a6bb51c7ef49e780f424e330ffc1f51ac25c7dcfe,b9bb2da159ea2ee1077f2b62ba19e38c6572d2b128bf4f57324bf8f855a20c83
