sample_id,category,mode,first_condition,second_condition,second_wrong_or_no_answer_to_first_correct,second_correct_to_first_wrong,second_protocol_violation_to_first_valid_answer,second_no_answer_to_first_answer
TPROMPT0000ab2db273,Spatial Relationship,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
