sample_id,category,condition,k_irrelevant,valid,suspicious,diagnosis,gt_answer_letter,pred_answer_letter,raw_output_token_count,output_near_max_new_tokens,total_model_input_length,estimated_visual_token_count,question,model_raw_output
OCR/sa_42566,OCR,gt_plus_1_irrelevant,1,False,True,likely_truncation,D,,8,True,1354,5292,Tell me the number on the traffic light screen.,The traffic light screen in the image shows
OCR/sa_42566,OCR,gt_plus_8_irrelevant,8,False,True,likely_truncation,D,,8,True,1597,6264,Tell me the number on the traffic light screen.,The number on the traffic light screen in
direct_attributes/sa_16854,direct_attributes,gt_crop_only,0,False,True,likely_truncation,B,,8,True,1352,5292,What is the color of the watch?,The image does not provide enough detail to
direct_attributes/sa_16854,direct_attributes,gt_plus_4_irrelevant,4,False,True,likely_truncation,B,,8,True,1595,6264,What is the color of the watch?,The image does not provide enough detail to
direct_attributes/sa_16854,direct_attributes,gt_plus_8_irrelevant,8,False,True,likely_truncation,B,,8,True,1595,6264,What is the color of the watch?,The image does not provide enough detail to
direct_attributes/sa_24546,direct_attributes,gt_plus_4_irrelevant,4,False,True,likely_truncation,D,,8,True,1595,6264,What is the color of the suitcase?,The image provided does not contain any visible
direct_attributes/sa_24546,direct_attributes,gt_plus_8_irrelevant,8,False,True,likely_truncation,D,,8,True,1595,6264,What is the color of the suitcase?,The image provided does not contain any visible
direct_attributes/sa_25212,direct_attributes,original_only,0,False,True,likely_truncation,D,,8,True,1082,4212,What is the color of the helmet?,"The image does not contain any helmets,"
direct_attributes/sa_25212,direct_attributes,gt_plus_4_irrelevant,4,False,True,likely_truncation,D,,8,True,1595,6264,What is the color of the helmet?,The image provided does not contain any helmets
direct_attributes/sa_25212,direct_attributes,gt_plus_8_irrelevant,8,False,True,likely_truncation,D,,8,True,1595,6264,What is the color of the helmet?,The image provided does not contain any helmets
direct_attributes/sa_25219,direct_attributes,gt_plus_8_irrelevant,8,True,True,likely_abstention,D,A,8,True,1595,6264,What is the color of the flag?,"The image does not contain a flag,"
direct_attributes/sa_28392,direct_attributes,gt_plus_1_irrelevant,1,False,True,likely_truncation,B,,8,True,1352,5292,What is the color of the backpack?,The image does not provide enough detail to
direct_attributes/sa_29744,direct_attributes,gt_plus_4_irrelevant,4,False,True,likely_truncation,B,,8,True,1596,6264,What is the color of the plastic stool?,The image provided does not contain any visible
