sample_id,category,gt_answer_letter,raw_output,pred_answer_letter,correct,status,generation_time_sec
GPT4V-hard/0,GPT4V-hard,A,B,B,False,ok,2.0496
GPT4V-hard/1,GPT4V-hard,D,D,D,True,ok,1.8879
GPT4V-hard/10,GPT4V-hard,D,D,D,True,ok,1.5089
GPT4V-hard/12,GPT4V-hard,D,D,D,True,ok,2.1100
GPT4V-hard/13,GPT4V-hard,D,D,D,True,ok,1.0405
GPT4V-hard/14,GPT4V-hard,A,D,D,False,ok,2.0030
GPT4V-hard/15,GPT4V-hard,A,A,A,True,ok,2.0351
GPT4V-hard/16,GPT4V-hard,C,B,B,False,ok,2.0085
GPT4V-hard/17,GPT4V-hard,D,D,D,True,ok,2.0183
GPT4V-hard/18,GPT4V-hard,D,D,D,True,ok,1.6142
GPT4V-hard/19,GPT4V-hard,A,B,B,False,ok,2.0324
GPT4V-hard/2,GPT4V-hard,A,C,C,False,ok,2.1020
GPT4V-hard/21,GPT4V-hard,A,A,A,True,ok,2.0516
GPT4V-hard/4,GPT4V-hard,D,D,D,True,ok,2.0478
GPT4V-hard/5,GPT4V-hard,B,B,B,True,ok,2.0236
GPT4V-hard/7,GPT4V-hard,D,D,D,True,ok,2.0611
GPT4V-hard/8,GPT4V-hard,C,C,C,True,ok,2.0288
OCR/sa_17012,OCR,A,A,A,True,ok,2.0424
OCR/sa_17063,OCR,A,A,A,True,ok,2.0356
OCR/sa_18172,OCR,A,A,A,True,ok,2.0341
