sample_id,baseline_status,baseline_answer_present,baseline_correct,num_prefix_crops,prefix_gt_hit,max_prefix_gt_coverage,first_gt_hit_crop_index,eligible,cohort,exclusion_reason
TPROMPT9ee217718764,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT5c23986e354f,completed,False,False,6,True,1.0,5,True,primary_prefix_hit,
TPROMPT9ed3a153f248,completed,True,True,4,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPT7e7a67fa1b6a,completed,True,False,5,False,0.0,,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPT21c31e94e6ef,completed,True,False,4,True,0.45714285714285713,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTd9dea78fc2c2,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT76c2790d4a2b,completed,True,False,3,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTa3781b14212b,completed,True,True,3,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTd76926eae1e4,completed,False,False,6,False,0.0,,True,secondary_prefix_no_hit,
TPROMPTff54c94f8c78,completed,True,False,6,True,1.0,1,False,excluded,baseline_answer_present
TPROMPTb732c7fab386,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT11712e5ce7e5,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT3b0fc700b6ba,completed,True,False,3,True,0.6504065040650406,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTe1671ded862f,completed,True,False,2,True,0.459915611814346,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPT7497e337e5af,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT2369f049b80b,completed,True,False,2,False,0.0,,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTd71e0ba6af48,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPTcc462aeedebc,completed,False,False,6,False,0.0,,True,secondary_prefix_no_hit,
TPROMPTeb0a3413facb,completed,True,True,4,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPT373af397f515,completed,False,False,6,False,0.0,,True,secondary_prefix_no_hit,
TPROMPT3a4863b95c2a,completed,True,False,2,False,0.0,,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTa4c5c9ce4d5e,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT4b58392e9fa0,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT87f194a501d8,completed,True,True,2,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTe4c8f54e012c,completed,True,True,3,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTa57c2e299fb8,completed,False,False,6,False,0.0,,True,secondary_prefix_no_hit,
TPROMPT4332e08930fe,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPT385ec69248ec,completed,False,False,6,True,1.0,2,True,primary_prefix_hit,
TPROMPT13b616f8c9dc,completed,True,False,4,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPT2d3a530d79de,completed,False,False,6,True,1.0,1,True,primary_prefix_hit,
TPROMPTe93c0e257ee2,completed,True,True,3,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTbb4183eb9aa6,completed,True,False,5,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTe12124092983,completed,True,False,3,True,0.8709677419354839,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPT44a5713acb48,completed,True,False,4,True,1.0,2,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPT2d2649c0df2e,completed,True,False,4,True,1.0,1,False,excluded,baseline_answer_present;fewer_than_6_successful_crops
TPROMPTf44ca1b5cfe5,completed,False,False,6,False,0.0,,True,secondary_prefix_no_hit,
