sample_id,category,condition,k_irrelevant,status,original_image_path,gt_crop_path,irrelevant_crop_paths,all_image_paths_used,gt_crop_position,gt_crop_hash,gt_crop_file_hash,gt_crop_width,gt_crop_height,original_image_hash,full_image_processed_hash,prompt_text,gt_answer_letter,gt_answer_text,model_raw_output,pred_answer_letter,pred_answer_text,correct,valid_output,input_token_count,estimated_visual_token_count,output_token_count,finish_reason,generation_time_sec,processor_min_pixels,processor_max_pixels,crop_long_side,attn_implementation,error_message
GPT4V-hard/0,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG""]",,,,,,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,B,B,The shop is a cafe.,False,True,1375,4988,2,eos,1.1386,200704,1003520,448,sdpa,
GPT4V-hard/0,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/crops/GPT4V-hard__0/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG"", ""outputs/crops/GPT4V-hard__0/gt.png""]",1,dab7e19d287a0f92c52a307180bb778fbe440eab7949c8dd06d82ddaedebd658,d2c6b5f4c7a490588317bc1cea83526a76b05d6acbb48a35bd94475a29375402,316,448,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,True,1710,6108,2,eos,0.9930,200704,1003520,448,sdpa,
GPT4V-hard/0,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/crops/GPT4V-hard__0/gt.png,"[""outputs/crops/GPT4V-hard__0/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_01.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG"", ""outputs/crops/GPT4V-hard__0/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__0/gt.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_01.png""]",8,dab7e19d287a0f92c52a307180bb778fbe440eab7949c8dd06d82ddaedebd658,d2c6b5f4c7a490588317bc1cea83526a76b05d6acbb48a35bd94475a29375402,316,448,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,True,4299,14752,2,eos,3.1983,200704,1003520,448,sdpa,
GPT4V-hard/1,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg""]",,,,,,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,1381,4896,2,eos,0.7517,200704,1003520,448,sdpa,
GPT4V-hard/1,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/crops/GPT4V-hard__1/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg"", ""outputs/crops/GPT4V-hard__1/gt.png""]",1,86858ede79cf56b30dc00e7687220e6be7f4b15e20e14d3b9fd86bd48be6b625,530295ef9c1e8d562c8464ce8f58eadb228e3e3523722f0c72ea23c21550e09e,304,448,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,1714,6016,2,eos,0.9778,200704,1003520,448,sdpa,
GPT4V-hard/1,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/crops/GPT4V-hard__1/gt.png,"[""outputs/crops/GPT4V-hard__1/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_03.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg"", ""outputs/crops/GPT4V-hard__1/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__1/gt.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_03.png""]",5,86858ede79cf56b30dc00e7687220e6be7f4b15e20e14d3b9fd86bd48be6b625,530295ef9c1e8d562c8464ce8f58eadb228e3e3523722f0c72ea23c21550e09e,304,448,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,4283,14620,2,eos,3.1902,200704,1003520,448,sdpa,
GPT4V-hard/10,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp""]",,,,,,050c9ff6333184fd021fb56734c65f20a86abdffd64522086e204a8113b6cc70,04795edf004b32626b99c9ebfa6b02c30e9194487dbed4854603d24b83748c81,"What is the instrument held by an ape?
(A) The instrument held by an ape is a bass.
(B) The instrument held by an ape is a violin.
(C) The instrument held by an ape is a saxophone.
(D) The instrument held by an ape is a guitar.",D,The instrument held by an ape is a guitar.,D,D,The instrument held by an ape is a guitar.,True,True,1357,4900,2,eos,0.7731,200704,1003520,448,sdpa,
GPT4V-hard/10,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,outputs/crops/GPT4V-hard__10/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp"", ""outputs/crops/GPT4V-hard__10/gt.png""]",1,5028604820cfadc12af8e3d0eb7c5eec06364d076cfa7b7cfbd175d55ad0e2fa,9cef480a2db4f0a39947701cca4f0a7808abf042cbcf4f1f4e39a38beecc8746,177,448,050c9ff6333184fd021fb56734c65f20a86abdffd64522086e204a8113b6cc70,04795edf004b32626b99c9ebfa6b02c30e9194487dbed4854603d24b83748c81,"What is the instrument held by an ape?
(A) The instrument held by an ape is a bass.
(B) The instrument held by an ape is a violin.
(C) The instrument held by an ape is a saxophone.
(D) The instrument held by an ape is a guitar.",D,The instrument held by an ape is a guitar.,D,D,The instrument held by an ape is a guitar.,True,True,1694,6044,2,eos,0.9914,200704,1003520,448,sdpa,
GPT4V-hard/10,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,outputs/crops/GPT4V-hard__10/gt.png,"[""outputs/crops/GPT4V-hard__10/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_06.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp"", ""outputs/crops/GPT4V-hard__10/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__10/gt.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__10/irrelevant_06.png""]",4,5028604820cfadc12af8e3d0eb7c5eec06364d076cfa7b7cfbd175d55ad0e2fa,9cef480a2db4f0a39947701cca4f0a7808abf042cbcf4f1f4e39a38beecc8746,177,448,050c9ff6333184fd021fb56734c65f20a86abdffd64522086e204a8113b6cc70,04795edf004b32626b99c9ebfa6b02c30e9194487dbed4854603d24b83748c81,"What is the instrument held by an ape?
(A) The instrument held by an ape is a bass.
(B) The instrument held by an ape is a violin.
(C) The instrument held by an ape is a saxophone.
(D) The instrument held by an ape is a guitar.",D,The instrument held by an ape is a guitar.,D,D,The instrument held by an ape is a guitar.,True,True,4293,14780,2,eos,3.2958,200704,1003520,448,sdpa,
GPT4V-hard/12,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg""]",,,,,,b501c14d22c2a3ce77a317b91291d38ed21a8e7be223c66be5db3eec68e1b5b2,022d5f7c58c1709f672517b7b79bbad1c0d67e54cd863126a24b1f6759380f4e,"What is the color of the mug?
(A) The color of the mug is black.
(B) The color of the mug is red.
(C) The color of the mug is white.
(D) The color of the mug is blue.",D,The color of the mug is blue.,D,D,The color of the mug is blue.,True,True,1369,4988,2,eos,0.7914,200704,1003520,448,sdpa,
