sample_id,category,max_prefix_gt_coverage,F_full_direct__strict_valid_answer,F_full_direct__strict_final_correct,F_full_direct__lenient_valid_answer,F_full_direct__lenient_final_correct,F_full_direct__protocol_violation,F_full_direct__parsed_answer,O_oracle_top2_direct__strict_valid_answer,O_oracle_top2_direct__strict_final_correct,O_oracle_top2_direct__lenient_valid_answer,O_oracle_top2_direct__lenient_final_correct,O_oracle_top2_direct__protocol_violation,O_oracle_top2_direct__parsed_answer,R_recent_top2_direct__strict_valid_answer,R_recent_top2_direct__strict_final_correct,R_recent_top2_direct__lenient_valid_answer,R_recent_top2_direct__lenient_final_correct,R_recent_top2_direct__protocol_violation,R_recent_top2_direct__parsed_answer,X_random_top2_direct__strict_valid_answer,X_random_top2_direct__strict_final_correct,X_random_top2_direct__lenient_valid_answer,X_random_top2_direct__lenient_final_correct,X_random_top2_direct__protocol_violation,X_random_top2_direct__parsed_answer
TPROMPT0000ab2db273,Spatial Relationship,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT038b4987f2c1,Spatial Relationship,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT082e2ab8ca3f,Color Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT08c724f096a1,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT099f36d398c1,Entity Recognition,0.7966804979253111,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT0ac61557657c,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT11712e5ce7e5,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,
TPROMPT14874df56003,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,
TPROMPT14acb1f8302e,Occluded Object Recognition,0.506578947368421,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT176f197b8403,Occluded Object Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT26086032b3a7,OCR Recognition,0.29577464788732394,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT275ea85d1748,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT290bead25899,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT294532df0b70,Occluded Object Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT2d3a530d79de,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,True,
TPROMPT2f6ab630f960,OCR Recognition,0.29545454545454547,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,
TPROMPT31205a3f0a8d,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT312e2d4924ab,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT378b8f698c05,Occluded Object Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,
TPROMPT385ec69248ec,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT3e12bdceaf5f,Entity Recognition,1.0,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,
TPROMPT4332e08930fe,OCR Recognition,1.0,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT433eb7d38409,Entity Recognition,1.0,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,
TPROMPT44008887cd0a,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT4827f5bac79f,Color Recognition,0.8411214953271028,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT4b58392e9fa0,OCR Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT4d38369995c3,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT4db4a1e6a431,Occluded Object Recognition,1.0,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,
TPROMPT4e84c67324b4,Spatial Relationship,0.7258064516129032,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT4ebc8e5a4604,Occluded Object Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,False,
TPROMPT5013d9f0a3b0,Spatial Relationship,1.0,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,
TPROMPT59892e5d6946,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,True,
TPROMPT5c23986e354f,OCR Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT5f40e3f3825d,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT6064c9a5c9cc,OCR Recognition,1.0,True,False,True,False,False,2914,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT642beb76b8d9,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT65ab072c3b73,Color Recognition,0.5981308411214953,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT67091f5462b7,Spatial Relationship,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT68ca2fe097b9,Entity Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT6ce215638c57,Entity Recognition,0.45454545454545453,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT6eca86c3bd8c,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT6f5246e7919d,Color Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT70cc4aa9b0ad,Occluded Object Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT72757d5fd7cc,OCR Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT732a4ca03c30,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT7497e337e5af,OCR Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT76d13ba158b2,OCR Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT77a09000c1fe,Occluded Object Recognition,1.0,False,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT84ed52046338,Entity Recognition,1.0,False,False,False,False,False,,True,,True,,False,A can,True,,True,,False,"The second item from the left on the countertop of the cabinet to the left of the clock is a black container, likely a can or a jar.",False,False,False,False,False,
TPROMPT8b7f32c7243b,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,True,True,True,True,False,TOW-AWAY,False,False,False,False,False,
TPROMPT8cdd00c71c72,Color Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT91f41b6832c0,Spatial Relationship,1.0,True,False,True,False,False,芝麻球,True,,True,,False,芝麻球,False,False,False,False,False,,False,False,False,False,False,
TPROMPT922f3a55568b,Color Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT9309f58a65aa,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT9404003b799f,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT98301a2c2575,Color Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT9c0f30434600,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT9cb8bd6915b4,Spatial Relationship,0.18017241379310345,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPT9cfcac6766a6,Entity Recognition,1.0,True,True,True,True,False,A palm tree is drawn behind the astronaut.,True,True,True,True,False,A palm tree is drawn behind the astronaut.,False,False,False,False,False,,True,True,True,True,False,A palm tree is drawn behind the astronaut.
TPROMPT9ee217718764,OCR Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
TPROMPT9fae2cd40e06,Spatial Relationship,0.2318840579710145,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPTa10064d97f46,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPTa4c5c9ce4d5e,OCR Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPTa959e892eec9,Entity Recognition,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPTb47e9914e0a5,Spatial Relationship,1.0,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,
TPROMPTb597efb6724c,Occluded Object Recognition,1.0,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,,False,False,False,False,True,
