sample_id,condition,category,baseline_answer_present,baseline_correct,baseline_status,prefix_crop_count,prefix_gt_hit,max_prefix_gt_coverage,retained_crop_indices,evicted_crop_indices,retained_gt_coverages,retained_prefix_image_count,evicted_prefix_image_count,available_prefix_source_names,cumulative_acquired_images_at_intervention,next_observation_index,unavailable_source_call_count,force_answer_protocol_violation,post_intervention_answer_present,post_intervention_final_answer,post_intervention_status,post_intervention_correct_exact,post_intervention_correct_normalized,num_additional_crops,total_final_crops,natural_stop,forced_answer,final_round,reached_max_rounds,reached_max_images,input_tokens_first_post_intervention,visual_tokens_first_post_intervention,visual_tokens_per_image_first_post_intervention,prefix_visual_tokens_after_intervention,input_images_first_post_intervention,runtime_seconds,peak_gpu_memory_mb,oom,invalid,stop_reason,error_type,error_message,prefix_snapshot_sha256,original_image_sha256,assistant_text_sha256
TPROMPT0a24f2bbb0a8,A_full,Color Recognition,False,False,completed,6,False,0.0,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,7086,5119,"[2542, 1568, 561, 240, 96, 56, 56]",2577,7,47.56871837936342,17661.05419921875,False,False,image_or_turn_cap,,,7b9fd4e641abcb27e6f05627b9b68b2fd8d890d6952583d936b60086f9f224b5,009a26c4a497a973e2e9bc693d785d566743d1b6b5bef4db9c7ff71c88ea6baf,eee428bf3b2d5e5db7f6efa1ca669ca535299ceae83e2b1a2255b4af083bc740
TPROMPT0ac61557657c,A_full,Spatial Relationship,False,False,completed,6,True,1.0,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,12387,10787,"[2542, 2028, 2485, 2542, 819, 299, 72]",8245,7,58.65948707051575,19458.64453125,False,False,image_or_turn_cap,,,80c22fa00f84c6b07402937f2e2c12e1d1061d10fe2702cfea59437e70ead206,52a7b277f21be5a5ac2c9eba7d30c788d9bac4039857904c69798b3647d26152,dbb998f51233cb2e6f56af62baf868671d969cb4e7314e5eb3cf56cdb58a5fb4
TPROMPT0bfb8770708e,A_full,Entity Recognition,False,False,completed,6,False,0.0,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,10586,8905,"[2480, 2520, 308, 162, 60, 2520, 855]",6425,7,51.93239242956042,18464.3994140625,False,False,image_or_turn_cap,,,bd5db29846c1101c0ff19d6d8ceabcd7aa1ea5cc4630b4ed2bad485945c30771,96bbcdd4d9634cda15f3f9e1015352242501100d55ed91640a9f1cf33fcdd2ab,20cf96e3b3686531cf4ad6c23fd091994c84c0bb504a66c3954a64aae462b265
TPROMPT2f6ab630f960,A_full,OCR Recognition,False,False,completed,6,True,0.29545454545454547,"[1, 2, 3, 4, 5, 6]",[],"[0.24468085106382978, 0.24468085106382978, 0.29545454545454547, 0.29545454545454547, 0.2263056092843327, 0.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,16736,15050,"[2494, 2420, 1276, 1936, 1936, 2494, 2494]",12556,7,100.83454314805567,22360.419921875,False,False,image_or_turn_cap,,,7c1afcb7687048c83473ecbb859ad768a43089690cb4d6ccb2229cabc31a1d3f,f1b8232cf61f6a22e8c76a990abd9a88778bf7b119f584a04de81c59152d6e2f,b6d4c743e57ed9952b3b32ebcedb840c5f2305266000b87d1b35700b84970430
TPROMPT3091df45580c,A_full,Spatial Relationship,False,False,completed,6,False,0.0,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,8651,7113,"[2542, 918, 100, 1107, 2035, 330, 81]",4571,7,40.479168782010674,17955.03173828125,False,False,image_or_turn_cap,,,f300a4a5bed7548580205c6e5ec27e506094a928f2090d44e846e787cc23e850,4f9f2fbf81708de1d77354c3c23b0f3dbb4a10122e3fc4be57415bfd35e3096c,e63aa010800f9b0fde3300eea2af62980a1d2599495d2b2ec96a7bc463b7b195
TPROMPT31999fa85408,A_full,Color Recognition,False,False,completed,6,False,0.0,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,4345,2825,"[1989, 315, 128, 225, 56, 56, 56]",836,7,27.51160329207778,16999.69677734375,False,False,image_or_turn_cap,,,3c0b490f828ce187b4dcfcb348b15b410389c2e30cc716e489aa894e42aeb0dd,9a92125e3fd7f3f394c7b21418dce312315da57b8f4075485047719951eaaba3,4e7f0e0a8e945d4704a8eb850df4590e06bd4c58af74e19bc335bb5ec1932e31
TPROMPT378b8f698c05,A_full,Occluded Object Recognition,False,False,completed,6,True,1.0,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 1.0, 1.0, 0.7970071567989591, 0.33344176968119715, 0.18249837345478204]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,6104,4611,"[2494, 1620, 252, 77, 56, 56, 56]",2117,7,33.09042766317725,17378.76708984375,False,False,image_or_turn_cap,,,77f2fdf931616bae9554dbac4559a3cdc3ae328a43189d3784e660d8a288fdea,d29115c7b170d46786edce2b75fdc1b9945cdebd7e0adeebc75c99944f37d550,a113ff9806b2a5e1b5ffefbd341b258a2bd5eca034ef6abf1b8e6092d9a7b576
TPROMPT433eb7d38409,A_full,Entity Recognition,False,False,completed,6,True,1.0,"[1, 2, 3, 4, 5, 6]",[],"[0.0, 0.0, 1.0, 1.0, 0.24516129032258063, 1.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,5588,4005,"[1989, 399, 112, 1014, 247, 54, 190]",2016,7,32.76033409871161,17321.0791015625,False,False,image_or_turn_cap,,,d06be5a910db2b0328d2b7327e70937a58ca59ab851873b390faff2f7985fb15,973be1850084fd8902531a77fbd5e2e8b8e6928463639cb66741631f54b66c53,e3760ae058eeb9d6bac67756821a9267f512f0c991bb89d77cd767f2b88ef33b
TPROMPT59892e5d6946,A_full,Entity Recognition,False,False,completed,6,True,1.0,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,4681,2872,"[1989, 483, 112, 56, 120, 56, 56]",883,7,39.88544958457351,17144.51025390625,False,False,image_or_turn_cap,,,908f7d8f0f85a3caceb79e4cd8978fb386a54f0b2351eb1f4455e62d2a657efc,8b331d8d28376851b2069feb67bad2b5822e576a760a59b65650b70b944d4276,ba8a0c336b9d00edc0575c19b09808375ad398d7aa68c6ba38b2b44563892526
TPROMPT6064c9a5c9cc,A_full,OCR Recognition,False,False,completed,6,True,1.0,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 1.0, 1.0, 0.3684210526315789, 0.3684210526315789, 0.3684210526315789]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,4697,3161,"[2546, 315, 64, 56, 60, 60, 60]",615,7,27.950347051024437,17077.7470703125,False,False,image_or_turn_cap,,,032faf05221453f6a75c3dbddabb1fe47c84b08c1fc033fff95c9f5f72364aab,8d5febcb2e8d34198dd4e36efcc983c093346e7e39873faae95eabfea5a0ea3f,62a849d96ab5551d5bbf89e6c0535890651bff0153a944e4304367f790fa244c
TPROMPT642beb76b8d9,A_full,Spatial Relationship,False,False,completed,6,True,1.0,"[1, 2, 3, 4, 5, 6]",[],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6,0,"[""original_image"", ""observation_1"", ""observation_2"", ""observation_3"", ""observation_4"", ""observation_5"", ""observation_6""]",7,7,0,False,False,,completed,False,False,5,11,False,False,12,True,True,4739,3399,"[1989, 285, 225, 225, 225, 225, 225]",1410,7,25.733506010845304,17241.84375,False,False,image_or_turn_cap,,,a17adbfa9c0934530dc5af0f076aa5ea9f6f5230c3408bf1fbdb2f40e8cd16b1,856be3bab3f73045cba062fe8fc4fe12ca57fcb9342792f98e8b9e580f4b0402,305860ec841870393b82a8afdb95f2b7462c95afe8f29c15b8585464a311be74
