sample_id,condition,k_irrelevant,image_path,contact_sheet_path,gt_bbox,gt_crop_position,question,options_shuffled,gt_answer_letter,gt_answer_text,model_raw_output,pred_answer_letter,pred_answer_text,correct,num_evidence_crops,seed,inference_time_sec,error
GPT4V-hard/0,original_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/original_only.jpg,"[2039.0, 1370.0, 143.0, 203.0]",,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,B,B,The shop is a cafe.,False,0,42,1.7979,
GPT4V-hard/0,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_crop_only.jpg,"[2039.0, 1370.0, 143.0, 203.0]",1,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,1,42,1.1687,
GPT4V-hard/0,gt_plus_1_irrelevant,1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_plus_1_irrelevant.jpg,"[2039.0, 1370.0, 143.0, 203.0]",1,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,2,42,1.0241,
GPT4V-hard/0,gt_plus_4_irrelevant,4,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_plus_4_irrelevant.jpg,"[2039.0, 1370.0, 143.0, 203.0]",5,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,5,42,1.4664,
GPT4V-hard/0,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_plus_8_irrelevant.jpg,"[2039.0, 1370.0, 143.0, 203.0]",4,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,(A),A,The shop is a yoga studio.,True,9,42,1.2744,
GPT4V-hard/1,original_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/original_only.jpg,"[1046.0, 521.0, 36.0, 53.0]",,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,0,42,0.8106,
GPT4V-hard/1,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_crop_only.jpg,"[1046.0, 521.0, 36.0, 53.0]",1,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,1,42,1.0216,
GPT4V-hard/1,gt_plus_1_irrelevant,1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_plus_1_irrelevant.jpg,"[1046.0, 521.0, 36.0, 53.0]",1,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,2,42,1.0259,
GPT4V-hard/1,gt_plus_4_irrelevant,4,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_plus_4_irrelevant.jpg,"[1046.0, 521.0, 36.0, 53.0]",1,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,5,42,1.2671,
GPT4V-hard/1,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_plus_8_irrelevant.jpg,"[1046.0, 521.0, 36.0, 53.0]",7,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,9,42,1.3741,
