sample_id,condition,k_irrelevant,image_path,contact_sheet_path,gt_bbox,gt_crop_position,question,options_shuffled,gt_answer_letter,gt_answer_text,model_raw_output,pred_answer_letter,pred_answer_text,correct,num_evidence_crops,seed,inference_time_sec,error
GPT4V-hard/0,original_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/original_only.jpg,"[2039.0, 1370.0, 143.0, 203.0]",,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,B,B,The shop is a cafe.,False,0,42,1.4890,
GPT4V-hard/0,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_crop_only.jpg,"[2039.0, 1370.0, 143.0, 203.0]",1,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,1,42,1.0275,
GPT4V-hard/0,gt_plus_1_irrelevant,1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_plus_1_irrelevant.jpg,"[2039.0, 1370.0, 143.0, 203.0]",1,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,2,42,1.0119,
GPT4V-hard/0,gt_plus_4_irrelevant,4,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_plus_4_irrelevant.jpg,"[2039.0, 1370.0, 143.0, 203.0]",5,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,5,42,1.2174,
GPT4V-hard/0,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/contact_sheets/GPT4V-hard__0/gt_plus_8_irrelevant.jpg,"[2039.0, 1370.0, 143.0, 203.0]",4,"From the information on that advertising board, what is the type of this shop?","[""The shop is a yoga studio."", ""The shop is a cafe."", ""The shop is a seven-eleven."", ""The shop is a milk tea shop.""]",A,The shop is a yoga studio.,(A),A,The shop is a yoga studio.,True,9,42,1.2465,
GPT4V-hard/1,original_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/original_only.jpg,"[1046.0, 521.0, 36.0, 53.0]",,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,0,42,0.8234,
GPT4V-hard/1,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_crop_only.jpg,"[1046.0, 521.0, 36.0, 53.0]",1,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,1,42,1.0297,
GPT4V-hard/1,gt_plus_1_irrelevant,1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_plus_1_irrelevant.jpg,"[1046.0, 521.0, 36.0, 53.0]",1,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,2,42,1.0300,
GPT4V-hard/1,gt_plus_4_irrelevant,4,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_plus_4_irrelevant.jpg,"[1046.0, 521.0, 36.0, 53.0]",1,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,5,42,1.2168,
GPT4V-hard/1,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/contact_sheets/GPT4V-hard__1/gt_plus_8_irrelevant.jpg,"[1046.0, 521.0, 36.0, 53.0]",7,What is the color of the liquid contained in the glass on the table?,"[""The color of the liquid contained in the glass on the table is white."", ""The color of the liquid contained in the glass on the table is transparent."", ""The color of the liquid contained in the glass on the table is orange."", ""The color of the liquid contained in the glass on the table is green.""]",D,The color of the liquid contained in the glass on the table is green.,B,B,The color of the liquid contained in the glass on the table is transparent.,False,9,42,1.2208,
GPT4V-hard/10,original_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,outputs/contact_sheets/GPT4V-hard__10/original_only.jpg,"[858.0, 387.0, 51.0, 129.0]",,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,(D),D,The instrument held by an ape is a guitar.,True,0,42,0.8488,
GPT4V-hard/10,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,outputs/contact_sheets/GPT4V-hard__10/gt_crop_only.jpg,"[858.0, 387.0, 51.0, 129.0]",1,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,(D),D,The instrument held by an ape is a guitar.,True,1,42,1.0577,
GPT4V-hard/10,gt_plus_1_irrelevant,1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,outputs/contact_sheets/GPT4V-hard__10/gt_plus_1_irrelevant.jpg,"[858.0, 387.0, 51.0, 129.0]",1,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,(D),D,The instrument held by an ape is a guitar.,True,2,42,1.0462,
GPT4V-hard/10,gt_plus_4_irrelevant,4,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,outputs/contact_sheets/GPT4V-hard__10/gt_plus_4_irrelevant.jpg,"[858.0, 387.0, 51.0, 129.0]",3,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,(D),D,The instrument held by an ape is a guitar.,True,5,42,1.2473,
GPT4V-hard/10,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/10.webp,outputs/contact_sheets/GPT4V-hard__10/gt_plus_8_irrelevant.jpg,"[858.0, 387.0, 51.0, 129.0]",4,What is the instrument held by an ape?,"[""The instrument held by an ape is a bass."", ""The instrument held by an ape is a violin."", ""The instrument held by an ape is a saxophone."", ""The instrument held by an ape is a guitar.""]",D,The instrument held by an ape is a guitar.,(D),D,The instrument held by an ape is a guitar.,True,9,42,1.2417,
GPT4V-hard/12,original_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,outputs/contact_sheets/GPT4V-hard__12/original_only.jpg,"[4599.0, 1296.0, 205.0, 223.0]",,What is the color of the mug?,"[""The color of the mug is black."", ""The color of the mug is red."", ""The color of the mug is white."", ""The color of the mug is blue.""]",D,The color of the mug is blue.,B,B,The color of the mug is red.,False,0,42,0.8155,
GPT4V-hard/12,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,outputs/contact_sheets/GPT4V-hard__12/gt_crop_only.jpg,"[4599.0, 1296.0, 205.0, 223.0]",1,What is the color of the mug?,"[""The color of the mug is black."", ""The color of the mug is red."", ""The color of the mug is white."", ""The color of the mug is blue.""]",D,The color of the mug is blue.,(D),D,The color of the mug is blue.,True,1,42,1.0510,
GPT4V-hard/12,gt_plus_1_irrelevant,1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,outputs/contact_sheets/GPT4V-hard__12/gt_plus_1_irrelevant.jpg,"[4599.0, 1296.0, 205.0, 223.0]",2,What is the color of the mug?,"[""The color of the mug is black."", ""The color of the mug is red."", ""The color of the mug is white."", ""The color of the mug is blue.""]",D,The color of the mug is blue.,(D),D,The color of the mug is blue.,True,2,42,1.0542,
GPT4V-hard/12,gt_plus_4_irrelevant,4,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,outputs/contact_sheets/GPT4V-hard__12/gt_plus_4_irrelevant.jpg,"[4599.0, 1296.0, 205.0, 223.0]",2,What is the color of the mug?,"[""The color of the mug is black."", ""The color of the mug is red."", ""The color of the mug is white."", ""The color of the mug is blue.""]",D,The color of the mug is blue.,(D),D,The color of the mug is blue.,True,5,42,1.2558,
GPT4V-hard/12,gt_plus_8_irrelevant,8,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/12.jpg,outputs/contact_sheets/GPT4V-hard__12/gt_plus_8_irrelevant.jpg,"[4599.0, 1296.0, 205.0, 223.0]",8,What is the color of the mug?,"[""The color of the mug is black."", ""The color of the mug is red."", ""The color of the mug is white."", ""The color of the mug is blue.""]",D,The color of the mug is blue.,(D),D,The color of the mug is blue.,True,9,42,1.2508,
GPT4V-hard/13,original_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png,outputs/contact_sheets/GPT4V-hard__13/original_only.jpg,"[498.0, 408.0, 50.0, 165.0]",,Tell me the number of that player who is shooting.,"[""The number of that player who is shooting is 30."", ""The number of that player who is shooting is 10."", ""The number of that player who is shooting is 24."", ""The number of that player who is shooting is 8.""]",D,The number of that player who is shooting is 8.,(D),D,The number of that player who is shooting is 8.,True,0,42,0.8549,
GPT4V-hard/13,gt_crop_only,0,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png,outputs/contact_sheets/GPT4V-hard__13/gt_crop_only.jpg,"[498.0, 408.0, 50.0, 165.0]",1,Tell me the number of that player who is shooting.,"[""The number of that player who is shooting is 30."", ""The number of that player who is shooting is 10."", ""The number of that player who is shooting is 24."", ""The number of that player who is shooting is 8.""]",D,The number of that player who is shooting is 8.,(D),D,The number of that player who is shooting is 8.,True,1,42,1.0506,
GPT4V-hard/13,gt_plus_1_irrelevant,1,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/13.png,outputs/contact_sheets/GPT4V-hard__13/gt_plus_1_irrelevant.jpg,"[498.0, 408.0, 50.0, 165.0]",1,Tell me the number of that player who is shooting.,"[""The number of that player who is shooting is 30."", ""The number of that player who is shooting is 10."", ""The number of that player who is shooting is 24."", ""The number of that player who is shooting is 8.""]",D,The number of that player who is shooting is 8.,(D),D,The number of that player who is shooting is 8.,True,2,42,1.0644,
