sample_id,category,condition,k_irrelevant,valid,suspicious,pred_answer_letter,raw_output_token_count,raw_output_char_count,max_new_tokens,output_near_max_new_tokens,contact_sheet_width,contact_sheet_height,processed_image_width,processed_image_height,text_input_token_count,total_model_input_length,estimated_visual_token_count,num_images
GPT4V-hard/0,GPT4V-hard,original_only,0,True,False,B,1,1,8,False,1100,760,78,54,35,1090,4212,1
GPT4V-hard/0,GPT4V-hard,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,35,1360,5292,1
GPT4V-hard/0,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,35,1360,5292,1
GPT4V-hard/0,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,35,1603,6264,1
GPT4V-hard/0,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,A,2,3,8,False,1620,760,116,54,35,1603,6264,1
GPT4V-hard/1,GPT4V-hard,original_only,0,True,False,D,1,1,8,False,1100,760,78,54,34,1089,4212,1
GPT4V-hard/1,GPT4V-hard,gt_crop_only,0,True,False,B,1,1,8,False,1360,760,98,54,34,1359,5292,1
GPT4V-hard/1,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,B,1,1,8,False,1360,760,98,54,34,1359,5292,1
GPT4V-hard/1,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,B,1,1,8,False,1620,760,116,54,34,1602,6264,1
GPT4V-hard/1,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,B,1,1,8,False,1620,760,116,54,34,1602,6264,1
GPT4V-hard/10,GPT4V-hard,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,28,1083,4212,1
GPT4V-hard/10,GPT4V-hard,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
GPT4V-hard/10,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,28,1353,5292,1
GPT4V-hard/10,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
GPT4V-hard/10,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,28,1596,6264,1
GPT4V-hard/12,GPT4V-hard,original_only,0,True,False,B,1,1,8,False,1100,760,78,54,27,1082,4212,1
GPT4V-hard/12,GPT4V-hard,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,27,1352,5292,1
GPT4V-hard/12,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,27,1352,5292,1
GPT4V-hard/12,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,27,1595,6264,1
GPT4V-hard/12,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,27,1595,6264,1
GPT4V-hard/13,GPT4V-hard,original_only,0,True,False,D,2,3,8,False,1100,760,78,54,30,1085,4212,1
GPT4V-hard/13,GPT4V-hard,gt_crop_only,0,True,False,D,2,3,8,False,1360,760,98,54,30,1355,5292,1
GPT4V-hard/13,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,D,2,3,8,False,1360,760,98,54,30,1355,5292,1
GPT4V-hard/13,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,D,2,3,8,False,1620,760,116,54,30,1598,6264,1
GPT4V-hard/13,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,D,2,3,8,False,1620,760,116,54,30,1598,6264,1
GPT4V-hard/14,GPT4V-hard,original_only,0,True,False,D,1,1,8,False,1100,760,78,54,41,1096,4212,1
GPT4V-hard/14,GPT4V-hard,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,41,1366,5292,1
GPT4V-hard/14,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,41,1366,5292,1
GPT4V-hard/14,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,41,1609,6264,1
GPT4V-hard/14,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,41,1609,6264,1
GPT4V-hard/15,GPT4V-hard,original_only,0,True,False,A,1,1,8,False,1100,760,78,54,28,1083,4212,1
GPT4V-hard/15,GPT4V-hard,gt_crop_only,0,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
GPT4V-hard/15,GPT4V-hard,gt_plus_1_irrelevant,1,True,False,A,1,1,8,False,1360,760,98,54,28,1353,5292,1
GPT4V-hard/15,GPT4V-hard,gt_plus_4_irrelevant,4,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
GPT4V-hard/15,GPT4V-hard,gt_plus_8_irrelevant,8,True,False,A,1,1,8,False,1620,760,116,54,28,1596,6264,1
GPT4V-hard/16,GPT4V-hard,original_only,0,True,False,B,1,1,8,False,1100,760,78,54,30,1085,4212,1
GPT4V-hard/16,GPT4V-hard,gt_crop_only,0,True,False,C,2,3,8,False,1360,760,98,54,30,1355,5292,1
