sample_id,category,mode,first_condition,second_condition,second_wrong_or_no_answer_to_first_correct,second_correct_to_first_wrong,second_protocol_violation_to_first_valid_answer,second_no_answer_to_first_answer
TPROMPT0000ab2db273,Spatial Relationship,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT0000ab2db273,Spatial Relationship,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT038b4987f2c1,Spatial Relationship,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT082e2ab8ca3f,Color Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT082e2ab8ca3f,Color Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT082e2ab8ca3f,Color Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT082e2ab8ca3f,Color Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT082e2ab8ca3f,Color Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT082e2ab8ca3f,Color Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT08c724f096a1,Spatial Relationship,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT08c724f096a1,Spatial Relationship,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT08c724f096a1,Spatial Relationship,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT08c724f096a1,Spatial Relationship,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT08c724f096a1,Spatial Relationship,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT08c724f096a1,Spatial Relationship,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT099f36d398c1,Entity Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT099f36d398c1,Entity Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT099f36d398c1,Entity Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT099f36d398c1,Entity Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT099f36d398c1,Entity Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT099f36d398c1,Entity Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT0ac61557657c,Spatial Relationship,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT0ac61557657c,Spatial Relationship,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT0ac61557657c,Spatial Relationship,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT0ac61557657c,Spatial Relationship,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT0ac61557657c,Spatial Relationship,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT0ac61557657c,Spatial Relationship,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT11712e5ce7e5,OCR Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT11712e5ce7e5,OCR Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT11712e5ce7e5,OCR Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT11712e5ce7e5,OCR Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT11712e5ce7e5,OCR Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT11712e5ce7e5,OCR Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT14874df56003,OCR Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT14874df56003,OCR Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT14874df56003,OCR Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT14874df56003,OCR Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT14874df56003,OCR Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT14874df56003,OCR Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT14acb1f8302e,Occluded Object Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT14acb1f8302e,Occluded Object Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT14acb1f8302e,Occluded Object Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT14acb1f8302e,Occluded Object Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT14acb1f8302e,Occluded Object Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT14acb1f8302e,Occluded Object Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT176f197b8403,Occluded Object Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT176f197b8403,Occluded Object Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT176f197b8403,Occluded Object Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT176f197b8403,Occluded Object Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT176f197b8403,Occluded Object Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT176f197b8403,Occluded Object Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT26086032b3a7,OCR Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT26086032b3a7,OCR Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT26086032b3a7,OCR Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT26086032b3a7,OCR Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT26086032b3a7,OCR Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT26086032b3a7,OCR Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT275ea85d1748,Entity Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT275ea85d1748,Entity Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT275ea85d1748,Entity Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT275ea85d1748,Entity Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT275ea85d1748,Entity Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT275ea85d1748,Entity Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT290bead25899,Entity Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT290bead25899,Entity Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT290bead25899,Entity Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT290bead25899,Entity Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT290bead25899,Entity Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT290bead25899,Entity Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT294532df0b70,Occluded Object Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT294532df0b70,Occluded Object Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT294532df0b70,Occluded Object Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT294532df0b70,Occluded Object Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT294532df0b70,Occluded Object Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT294532df0b70,Occluded Object Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT2d3a530d79de,OCR Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT2d3a530d79de,OCR Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT2d3a530d79de,OCR Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT2d3a530d79de,OCR Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT2d3a530d79de,OCR Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT2d3a530d79de,OCR Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT2f6ab630f960,OCR Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT2f6ab630f960,OCR Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT2f6ab630f960,OCR Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT2f6ab630f960,OCR Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT2f6ab630f960,OCR Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT2f6ab630f960,OCR Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT31205a3f0a8d,Spatial Relationship,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT31205a3f0a8d,Spatial Relationship,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT31205a3f0a8d,Spatial Relationship,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT31205a3f0a8d,Spatial Relationship,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT31205a3f0a8d,Spatial Relationship,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT31205a3f0a8d,Spatial Relationship,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT312e2d4924ab,Entity Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT312e2d4924ab,Entity Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT312e2d4924ab,Entity Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT312e2d4924ab,Entity Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT312e2d4924ab,Entity Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT312e2d4924ab,Entity Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT378b8f698c05,Occluded Object Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT378b8f698c05,Occluded Object Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT378b8f698c05,Occluded Object Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT378b8f698c05,Occluded Object Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT378b8f698c05,Occluded Object Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT378b8f698c05,Occluded Object Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT385ec69248ec,OCR Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT385ec69248ec,OCR Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT385ec69248ec,OCR Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT385ec69248ec,OCR Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT385ec69248ec,OCR Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT385ec69248ec,OCR Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT3e12bdceaf5f,Entity Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT3e12bdceaf5f,Entity Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT3e12bdceaf5f,Entity Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT3e12bdceaf5f,Entity Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT3e12bdceaf5f,Entity Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT3e12bdceaf5f,Entity Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT4332e08930fe,OCR Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT4332e08930fe,OCR Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT4332e08930fe,OCR Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT4332e08930fe,OCR Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT4332e08930fe,OCR Recognition,strict,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT4332e08930fe,OCR Recognition,lenient,O_oracle_top2_direct,X_random_top2_direct,False,False,False,False
TPROMPT433eb7d38409,Entity Recognition,strict,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT433eb7d38409,Entity Recognition,lenient,O_oracle_top2_direct,F_full_direct,False,False,False,False
TPROMPT433eb7d38409,Entity Recognition,strict,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
TPROMPT433eb7d38409,Entity Recognition,lenient,O_oracle_top2_direct,R_recent_top2_direct,False,False,False,False
