sample_id,category,status,num_rounds,num_crops,produced_final_answer,final_answer,gt_answer,exact_match,normalized_string_match,reached_turn_cap,reached_image_cap,first_gt_center_hit_turn,first_gt_coverage_10_turn,max_gt_coverage,ever_gt_center_hit,num_geometrically_irrelevant,irrelevant_crop_ratio,num_high_overlap_crops,parse_error_count,preprocessing_error_count,oom,runtime_seconds,stop_reason,error_type,error_message
TPROMPT3548aa15300e,Color Recognition,completed,7,6,True,black,Black,False,True,False,False,5,5,1.0,True,5,0.8333333333333334,0,0,0,False,44.63459479250014,answer,,
TPROMPT17518843f8cc,Color Recognition,completed,3,2,True,brown,Pink and green,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,11.457929318770766,answer,,
TPROMPT88dc50778928,Color Recognition,completed,2,1,True,The scissors in the cylindrical container are red.,Blue or cyan or green.,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,7.295568225905299,answer,,
TPROMPT65ab072c3b73,Color Recognition,completed,12,11,False,,Black,False,False,True,True,1,1,0.5981308411214953,True,0,0.0,9,0,0,False,71.18047197908163,image_or_turn_cap,,
TPROMPT5e284ebedfca,Entity Recognition,completed,4,3,True,"A pink plush toy, which appears to be Kirby, is to the right of the white bunny pillow.",Rotary dial telephone,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,16.194677472114563,answer,,
TPROMPT433eb7d38409,Entity Recognition,completed,12,11,False,,阿福早餐,False,False,True,True,3,3,1.0,True,2,0.18181818181818182,4,0,0,False,59.6141537707299,image_or_turn_cap,,
TPROMPT3b824b5818d8,Entity Recognition,completed,5,4,True,The doll above the large orange-yellow book on the bookshelf is a red robot or action figure.,Shiro,False,False,False,False,1,1,1.0,True,3,0.75,0,0,0,False,22.97261891886592,answer,,
TPROMPT37318e20e89a,Entity Recognition,completed,4,3,True,The cyan object is a figure from the game Animal Crossing.,Landline phone,False,False,False,False,,,0.0,False,3,1.0,0,0,0,False,18.0328817833215,answer,,
TPROMPTc0529c3ff153,OCR Recognition,completed,4,3,True,京东秒送,30,False,False,False,False,,,0.0,False,3,1.0,0,0,0,False,12.891174701973796,answer,,
TPROMPT13b616f8c9dc,OCR Recognition,completed,5,4,True,文和,地道長沙味,False,False,False,False,1,1,1.0,True,1,0.25,0,0,0,False,20.822436045855284,answer,,
TPROMPT11712e5ce7e5,OCR Recognition,completed,12,11,False,,金榜鸭脖,False,False,True,True,1,1,1.0,True,0,0.0,6,0,0,False,69.77272592112422,image_or_turn_cap,,
TPROMPT28c29c1db01e,OCR Recognition,completed,3,2,True,武汉正宗,提拉米苏,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,12.448014797642827,answer,,
TPROMPT6a35efbe56dd,Occluded Object Recognition,completed,12,11,False,,大明星戏院,False,False,True,True,,,0.0,False,11,1.0,9,0,0,False,102.03318415023386,image_or_turn_cap,,
TPROMPT70cc4aa9b0ad,Occluded Object Recognition,oom,11,10,False,,莎莎,False,False,False,False,1,1,1.0,True,0,0.0,7,0,0,True,114.86912848427892,oom,oom,"CUDA out of memory. Tried to allocate 1.06 GiB. GPU 0 has a total capacity of 23.57 GiB of which 1.06 GiB is free. Including non-PyTorch memory, this process has 22.49 GiB memory in use. Of the allocated memory 20.07 GiB is allocated by PyTorch, and 2.11 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
TPROMPTf75544649373,Occluded Object Recognition,completed,6,5,True,The object with pink handles is a mop.,Kids' scooter,False,False,False,False,1,1,1.0,True,0,0.0,0,0,0,False,25.087121423333883,answer,,
TPROMPT176f197b8403,Occluded Object Recognition,completed,12,11,False,,Water bottle,False,False,True,True,1,1,1.0,True,8,0.7272727272727273,3,0,0,False,48.54489508084953,image_or_turn_cap,,
TPROMPTb85097d0357f,Spatial Relationship,completed,7,6,True,情深深雨濛濛,《向日葵不开的夏天》,False,False,False,False,3,3,0.5857142857142857,True,2,0.3333333333333333,0,0,0,False,29.058390602469444,answer,,
TPROMPT4636b72ec2d0,Spatial Relationship,completed,12,11,False,,CUSTOMA,False,False,True,True,,,0.0,False,11,1.0,6,0,0,False,56.23486480116844,image_or_turn_cap,,
TPROMPTdcc8e5320bb5,Spatial Relationship,completed,3,2,True,妙脆角,'真实惠金虾条',False,False,False,False,,,0.0,False,2,1.0,0,0,0,False,11.480105586349964,answer,,
TPROMPTcc36d493e6fa,Spatial Relationship,completed,4,3,True,Orange juice,Apple-flavored jelly,False,False,False,False,,,0.0,False,3,1.0,0,0,0,False,21.744855765253305,answer,,
