seed,shard_id,num_shards,sample_index,sample_id,category,condition,k_irrelevant,status,original_image_path,gt_crop_path,irrelevant_crop_paths,all_image_paths_used,image_kinds_in_order,image_sizes_in_order,gt_crop_position,gt_crop_hash,gt_crop_file_hash,gt_crop_width,gt_crop_height,original_image_hash,full_image_processed_hash,prompt_text,gt_answer_letter,gt_answer_text,model_raw_output,pred_answer_letter,pred_answer_text,correct,valid_output,input_token_count,estimated_visual_token_count,per_image_visual_token_counts,distractor_visual_token_fraction,output_token_count,finish_reason,generation_time_sec,max_new_tokens,do_sample,processor_min_pixels,processor_max_pixels,crop_long_side,attn_implementation,dtype,error_message
42,0,8,0,GPT4V-hard/0,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG""]","[""original""]","[[4240, 2832]]",,,,,,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,B,B,The shop is a cafe.,False,True,1375,4988,[4988],0.00000000,2,eos,1.3705,64,False,200704,1003520,448,sdpa,bfloat16,
42,0,8,0,GPT4V-hard/0,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/crops/GPT4V-hard__0/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG"", ""outputs/crops/GPT4V-hard__0/gt.png""]","[""original"", ""gt""]","[[4240, 2832], [316, 448]]",1,dab7e19d287a0f92c52a307180bb778fbe440eab7949c8dd06d82ddaedebd658,d2c6b5f4c7a490588317bc1cea83526a76b05d6acbb48a35bd94475a29375402,316,448,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,True,1710,6108,"[4988, 1120]",0.00000000,2,eos,1.0565,64,False,200704,1003520,448,sdpa,bfloat16,
42,0,8,0,GPT4V-hard/0,GPT4V-hard,gt_plus_1_irrelevant,1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/crops/GPT4V-hard__0/gt.png,"[""outputs/crops/GPT4V-hard__0/irrelevant_00.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG"", ""outputs/crops/GPT4V-hard__0/gt.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_00.png""]","[""original"", ""gt"", ""irrelevant""]","[[4240, 2832], [316, 448], [404, 448]]",1,dab7e19d287a0f92c52a307180bb778fbe440eab7949c8dd06d82ddaedebd658,d2c6b5f4c7a490588317bc1cea83526a76b05d6acbb48a35bd94475a29375402,316,448,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,True,2037,7196,"[4988, 1120, 1088]",0.15119511,2,eos,1.2494,64,False,200704,1003520,448,sdpa,bfloat16,
42,0,8,0,GPT4V-hard/0,GPT4V-hard,gt_plus_4_irrelevant,4,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/crops/GPT4V-hard__0/gt.png,"[""outputs/crops/GPT4V-hard__0/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_02.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG"", ""outputs/crops/GPT4V-hard__0/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__0/gt.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_02.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant"", ""irrelevant""]","[[4240, 2832], [269, 448], [321, 448], [316, 448], [404, 448], [448, 417]]",3,dab7e19d287a0f92c52a307180bb778fbe440eab7949c8dd06d82ddaedebd658,d2c6b5f4c7a490588317bc1cea83526a76b05d6acbb48a35bd94475a29375402,316,448,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,True,3005,10440,"[4988, 1092, 1064, 1120, 1088, 1088]",0.41494253,2,eos,2.0073,64,False,200704,1003520,448,sdpa,bfloat16,
42,0,8,0,GPT4V-hard/0,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG,outputs/crops/GPT4V-hard__0/gt.png,"[""outputs/crops/GPT4V-hard__0/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_01.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/0.JPG"", ""outputs/crops/GPT4V-hard__0/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__0/gt.png"", ""outputs/crops/GPT4V-hard__0/irrelevant_01.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant""]","[[4240, 2832], [234, 448], [448, 417], [240, 448], [404, 448], [448, 422], [321, 448], [336, 448], [316, 448], [269, 448]]",8,dab7e19d287a0f92c52a307180bb778fbe440eab7949c8dd06d82ddaedebd658,d2c6b5f4c7a490588317bc1cea83526a76b05d6acbb48a35bd94475a29375402,316,448,e3735087c577110a3cd79748efb4743c65cc501035c9bf366c54be6725ca4c1f,c8aa283768fbabb45238e1b69a10993a64305734f86acf08248ff34be77a03b5,"From the information on that advertising board, what is the type of this shop?
(A) The shop is a yoga studio.
(B) The shop is a cafe.
(C) The shop is a seven-eleven.
(D) The shop is a milk tea shop.",A,The shop is a yoga studio.,A,A,The shop is a yoga studio.,True,True,4299,14752,"[4988, 1104, 1088, 1056, 1088, 1088, 1064, 1064, 1120, 1092]",0.58595445,2,eos,3.2703,64,False,200704,1003520,448,sdpa,bfloat16,
42,1,8,1,GPT4V-hard/1,GPT4V-hard,original_only,-1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg""]","[""original""]","[[1920, 930]]",,,,,,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,1381,4896,[4896],0.00000000,2,eos,1.1785,64,False,200704,1003520,448,sdpa,bfloat16,
42,1,8,1,GPT4V-hard/1,GPT4V-hard,gt_crop_only,0,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/crops/GPT4V-hard__1/gt.png,[],"[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg"", ""outputs/crops/GPT4V-hard__1/gt.png""]","[""original"", ""gt""]","[[1920, 930], [304, 448]]",1,86858ede79cf56b30dc00e7687220e6be7f4b15e20e14d3b9fd86bd48be6b625,530295ef9c1e8d562c8464ce8f58eadb228e3e3523722f0c72ea23c21550e09e,304,448,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,1714,6016,"[4896, 1120]",0.00000000,2,eos,0.9752,64,False,200704,1003520,448,sdpa,bfloat16,
42,1,8,1,GPT4V-hard/1,GPT4V-hard,gt_plus_1_irrelevant,1,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/crops/GPT4V-hard__1/gt.png,"[""outputs/crops/GPT4V-hard__1/irrelevant_00.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg"", ""outputs/crops/GPT4V-hard__1/gt.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_00.png""]","[""original"", ""gt"", ""irrelevant""]","[[1920, 930], [304, 448], [448, 440]]",1,86858ede79cf56b30dc00e7687220e6be7f4b15e20e14d3b9fd86bd48be6b625,530295ef9c1e8d562c8464ce8f58eadb228e3e3523722f0c72ea23c21550e09e,304,448,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,2023,7040,"[4896, 1120, 1024]",0.14545455,2,eos,1.1815,64,False,200704,1003520,448,sdpa,bfloat16,
42,1,8,1,GPT4V-hard/1,GPT4V-hard,gt_plus_4_irrelevant,4,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/crops/GPT4V-hard__1/gt.png,"[""outputs/crops/GPT4V-hard__1/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_02.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg"", ""outputs/crops/GPT4V-hard__1/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_03.png"", ""outputs/crops/GPT4V-hard__1/gt.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_02.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant"", ""irrelevant""]","[[1920, 930], [448, 440], [299, 448], [304, 448], [448, 439], [365, 448]]",3,86858ede79cf56b30dc00e7687220e6be7f4b15e20e14d3b9fd86bd48be6b625,530295ef9c1e8d562c8464ce8f58eadb228e3e3523722f0c72ea23c21550e09e,304,448,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,2988,10264,"[4896, 1024, 1120, 1120, 1024, 1080]",0.41387373,2,eos,1.9334,64,False,200704,1003520,448,sdpa,bfloat16,
42,1,8,1,GPT4V-hard/1,GPT4V-hard,gt_plus_8_irrelevant,8,ok,/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg,outputs/crops/GPT4V-hard__1/gt.png,"[""outputs/crops/GPT4V-hard__1/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_03.png""]","[""/home/songzhoujie/cvpr27/vstar/data/vstar_bench/GPT4V-hard/1.jpg"", ""outputs/crops/GPT4V-hard__1/irrelevant_05.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_01.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_06.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_04.png"", ""outputs/crops/GPT4V-hard__1/gt.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_00.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_07.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_02.png"", ""outputs/crops/GPT4V-hard__1/irrelevant_03.png""]","[""original"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""gt"", ""irrelevant"", ""irrelevant"", ""irrelevant"", ""irrelevant""]","[[1920, 930], [448, 420], [448, 439], [422, 448], [390, 448], [304, 448], [448, 440], [192, 448], [365, 448], [299, 448]]",5,86858ede79cf56b30dc00e7687220e6be7f4b15e20e14d3b9fd86bd48be6b625,530295ef9c1e8d562c8464ce8f58eadb228e3e3523722f0c72ea23c21550e09e,304,448,c60c2eea92d9f9855608854e52f8d65ae1fc2380dc782647bd413021cf00facc,b37e6928cd8057e5031c958e8d7a39058d7fc5d7ae59fe1d34dd42f9aed8ed93,"What is the color of the liquid contained in the glass on the table?
(A) The color of the liquid contained in the glass on the table is white.
(B) The color of the liquid contained in the glass on the table is transparent.
(C) The color of the liquid contained in the glass on the table is orange.
(D) The color of the liquid contained in the glass on the table is green.",D,The color of the liquid contained in the glass on the table is green.,D,D,The color of the liquid contained in the glass on the table is green.,True,True,4283,14620,"[4896, 1088, 1024, 1088, 1080, 1120, 1024, 1100, 1080, 1120]",0.58850889,2,eos,3.1955,64,False,200704,1003520,448,sdpa,bfloat16,
