sample_id,model,judge_result,judge_parse_success,raw_output,finish_reason,runtime_seconds,prompt_tokens,candidate_tokens,thought_tokens,total_tokens,error
TPROMPT07c19ee8daef,gemini-3.8-flash,False,True,NO,STOP,6.500887541100383,1537,1,,1538,
TPROMPT11157b3d113c,gemini-3.8-flash,False,True,NO,STOP,16.04712300375104,1520,1,57,1578,
TPROMPT13b616f8c9dc,gemini-3.8-flash,False,True,NO,STOP,10.772283058613539,1513,,45,1558,
TPROMPT143eb4f78ae5,gemini-3.8-flash,False,True,NO,STOP,11.748792307451367,1575,1,90,1666,
TPROMPT1490498cee1f,gemini-3.8-flash,False,True,NO,STOP,12.013495955616236,1570,1,,1571,
TPROMPT17518843f8cc,gemini-3.8-flash,False,True,NO,STOP,9.16655401699245,1561,1,,1562,
TPROMPT19d01b3ff8c1,gemini-3.8-flash,False,True,NO,STOP,11.898467723280191,1586,1,66,1653,
TPROMPT1ba66b77a6b0,gemini-3.8-flash,False,True,NO,STOP,7.547888740897179,1554,1,,1555,
TPROMPT1c4e65857519,gemini-3.8-flash,False,True,NO,STOP,10.007308203727007,1521,1,23,1545,
TPROMPT1f1fba410196,gemini-3.8-flash,False,True,NO,STOP,10.152559988200665,1515,1,35,1551,
TPROMPT21c31e94e6ef,gemini-3.8-flash,False,True,NO,STOP,21.670668605715036,1534,1,115,1650,
TPROMPT2300c13c0671,gemini-3.8-flash,False,True,NO,STOP,10.354911867529154,1517,1,77,1595,
TPROMPT2369f049b80b,gemini-3.8-flash,False,True,NO,STOP,10.220400243997574,1547,1,70,1618,
TPROMPT2704cc287a78,gemini-3.8-flash,True,True,YES,STOP,18.044052181765437,1555,1,25,1581,
TPROMPT28c29c1db01e,gemini-3.8-flash,False,True,NO,STOP,6.6865491811186075,1515,1,,1516,
TPROMPT2adad2f7f441,gemini-3.8-flash,False,True,NO,STOP,12.842864759266376,1510,1,,1511,
TPROMPT2d2649c0df2e,gemini-3.8-flash,False,True,NO,STOP,19.825892984867096,1549,1,,1550,
TPROMPT2da7609a0e4b,gemini-3.8-flash,False,True,NO,STOP,9.945178834721446,1505,1,62,1568,
TPROMPT2fa94160c13d,gemini-3.8-flash,False,True,NO,STOP,12.608259400352836,1619,1,43,1663,
TPROMPT303869e65fa6,gemini-3.8-flash,False,True,NO,STOP,15.71422589942813,1540,1,,1541,
TPROMPT31a0621e1bbc,gemini-3.8-flash,True,True,YES,STOP,12.839660892263055,1572,1,73,1646,
TPROMPT331ec7b1c71f,gemini-3.8-flash,False,True,NO,STOP,6.157383661717176,1555,1,,1556,
TPROMPT35255b0e44f6,gemini-3.8-flash,False,True,NO,STOP,10.681527299806476,1530,1,27,1558,
TPROMPT37318e20e89a,gemini-3.8-flash,False,True,NO,STOP,17.445250222459435,1583,1,81,1665,
TPROMPT384c8f33e4cc,gemini-3.8-flash,False,True,NO,STOP,8.827202554792166,1517,1,,1518,
TPROMPT38ac7fbf9141,gemini-3.8-flash,False,True,NO,STOP,10.271789908409119,1506,1,,1507,
TPROMPT3a4863b95c2a,gemini-3.8-flash,False,True,NO,STOP,11.3780906368047,1542,1,208,1751,
TPROMPT3af283993b4f,gemini-3.8-flash,True,True,YES,STOP,20.783707795664668,1557,1,72,1630,
TPROMPT3b0fc700b6ba,gemini-3.8-flash,False,True,NO,STOP,9.378979424014688,1525,1,,1526,
TPROMPT3b3c80ecf389,gemini-3.8-flash,False,True,NO,STOP,10.616957085207105,1551,1,29,1581,
TPROMPT3b824b5818d8,gemini-3.8-flash,False,True,NO,STOP,10.240406531840563,1626,1,140,1767,
TPROMPT3c99cee2ee15,gemini-3.8-flash,False,True,NO,STOP,10.959452919661999,1529,1,69,1599,
TPROMPT3cc2cc870796,gemini-3.8-flash,True,True,YES,STOP,10.51721035130322,1523,1,200,1724,
TPROMPT3d04f493f1e1,gemini-3.8-flash,False,True,NO,STOP,8.86561125330627,1561,1,49,1611,
TPROMPT3e4fe0e13a53,gemini-3.8-flash,False,True,NO,STOP,10.993900584056973,1504,1,88,1593,
TPROMPT42678aebd195,gemini-3.8-flash,True,True,YES,STOP,6.361423052847385,1583,1,48,1632,
TPROMPT42a1f591e921,gemini-3.8-flash,False,True,NO,STOP,13.86112854257226,1533,1,,1534,
TPROMPT4315b27969c0,gemini-3.8-flash,False,True,NO,STOP,8.505760615691543,1549,1,,1550,
TPROMPT44a5713acb48,gemini-3.8-flash,False,True,NO,STOP,12.844618124887347,1544,1,186,1731,
TPROMPT473e38c1eb2d,gemini-3.8-flash,False,True,NO,STOP,13.427361825481057,1579,1,,1580,
TPROMPT48a9328fd3f6,gemini-3.8-flash,False,True,NO,STOP,13.54494957625866,1538,1,85,1624,
TPROMPT48df9787dcba,gemini-3.8-flash,False,True,NO,STOP,13.757331499829888,1542,1,29,1572,
